*******************************************************************************
 2014-Jun-13 00:00     4.0915030682E+08   4.224598   0.237594
 2014-Jun-14 00:00     4.0930246524E+08   4.288466   0.092540
 2014-Jun-15 00:00     4.0945183174E+08   4.352286  -0.052409
 2014-Jun-16 00:00     4.0959840722E+08   4.416061  -0.197253
 2014-Jun-17 00:00     4.0974219258E+08   4.479792  -0.341995
 2014-Jun-18 00:00     4.0988318870E+08   4.543481  -0.486637
 2014-Jun-19 00:00     4.1002139644E+08   4.607130  -0.631179
 2014-Jun-20 00:00     4.1015681664E+08   4.670740  -0.775625
 2014-Jun-21 00:00     4.1028945013E+08   4.734313  -0.919977
 2014-Jun-22 00:00     4.1041929773E+08   4.797851  -1.064235
 2014-Jun-23 00:00     4.1054636023E+08   4.861355  -1.208402
 2014-Jun-24 00:00     4.1067063840E+08   4.924827  -1.352480
 2014-Jun-25 00:00     4.1079213302E+08   4.988269  -1.496470
 2014-Jun-26 00:00     4.1091084481E+08   5.051683  -1.640375
 2014-Jun-27 00:00     4.1102677453E+08   5.115070  -1.784197
 2014-Jun-28 00:00     4.1113992286E+08   5.178431  -1.927936
 2014-Jun-29 00:00     4.1125029052E+08   5.241770  -2.071596
 2014-Jun-30 00:00     4.1135787818E+08   5.305086  -2.215177
 2014-Jul-01 00:00     4.1146268650E+08   5.368382  -2.358682
 2014-Jul-02 00:00     4.1156471612E+08   5.431660  -2.502113
 2014-Jul-03 00:00     4.1166396768E+08   5.494921  -2.645471
 2014-Jul-04 00:00     4.1176044178E+08   5.558166  -2.788758
 2014-Jul-05 00:00     4.1185413903E+08   5.621398  -2.931976
 2014-Jul-06 00:00     4.1194506000E+08   5.684618  -3.075126
 2014-Jul-07 00:00     4.1203320525E+08   5.747828  -3.218211
 2014-Jul-08 00:00     4.1211857532E+08   5.811030  -3.361233
 2014-Jul-09 00:00     4.1220117075E+08   5.874224  -3.504192
 2014-Jul-10 00:00     4.1228099205E+08   5.937413  -3.647092
 2014-Jul-11 00:00     4.1235803971E+08   6.000598  -3.789933
 2014-Jul-12 00:00     4.1243231421E+08   6.063781  -3.932718
 2014-Jul-13 00:00     4.1250381601E+08   6.126964  -4.075448
 2014-Jul-14 00:00     4.1257254556E+08   6.190148  -4.218125
 2014-Jul-15 00:00     4.1263850328E+08   6.253335  -4.360750
 2014-Jul-16 00:00     4.1270168959E+08   6.316526  -4.503327
 2014-Jul-17 00:00     4.1276210487E+08   6.379724  -4.645855
 2014-Jul-18 00:00     4.1281974951E+08   6.442929  -4.788338
 2014-Jul-19 00:00     4.1287462387E+08   6.506143  -4.930777
 2014-Jul-20 00:00     4.1292672830E+08   6.569369  -5.073173
 2014-Jul-21 00:00     4.1297606311E+08   6.632607  -5.215529
 2014-Jul-22 00:00     4.1302262862E+08   6.695859  -5.357845
 2014-Jul-23 00:00     4.1306642513E+08   6.759127  -5.500125
 2014-Jul-24 00:00     4.1310745291E+08   6.822413  -5.642369
 2014-Jul-25 00:00     4.1314571222E+08   6.885718  -5.784579
 2014-Jul-26 00:00     4.1318120331E+08   6.949044  -5.926758
 2014-Jul-27 00:00     4.1321392640E+08   7.012392  -6.068906
 2014-Jul-28 00:00     4.1324388170E+08   7.075764  -6.211026
 2014-Jul-29 00:00     4.1327106940E+08   7.139162  -6.353119
 2014-Jul-30 00:00     4.1329548970E+08   7.202587  -6.495187
 2014-Jul-31 00:00     4.1331714273E+08   7.266041  -6.637232
 2014-Aug-01 00:00     4.1333602865E+08   7.329526  -6.779256
 2014-Aug-02 00:00     4.1335214758E+08   7.393044  -6.921259
 2014-Aug-03 00:00     4.1336549963E+08   7.456595  -7.063245
 2014-Aug-04 00:00     4.1337608490E+08   7.520182  -7.205214
 2014-Aug-05 00:00     4.1338390345E+08   7.583806  -7.347169
 2014-Aug-06 00:00     4.1338895536E+08   7.647469  -7.489110
 2014-Aug-07 00:00     4.1339124066E+08   7.711172  -7.631041
 2014-Aug-08 00:00     4.1339075938E+08   7.774918  -7.772962
 2014-Aug-09 00:00     4.1338751152E+08   7.838708  -7.914875
 2014-Aug-10 00:00     4.1338149708E+08   7.902543  -8.056782
 2014-Aug-11 00:00     4.1337271604E+08   7.966426  -8.198685
 2014-Aug-12 00:00     4.1336116835E+08   8.030358  -8.340585
 2014-Aug-13 00:00     4.1334685395E+08   8.094341  -8.482485
 2014-Aug-14 00:00     4.1332977278E+08   8.158375  -8.624385
 2014-Aug-15 00:00     4.1330992473E+08   8.222464  -8.766288
 2014-Aug-16 00:00     4.1328730971E+08   8.286609  -8.908195
 2014-Aug-17 00:00     4.1326192758E+08   8.350812  -9.050107
 2014-Aug-18 00:00     4.1323377820E+08   8.415073  -9.192028
 2014-Aug-19 00:00     4.1320286142E+08   8.479396  -9.333958
 2014-Aug-20 00:00     4.1316917706E+08   8.543782  -9.475899
 2014-Aug-21 00:00     4.1313272492E+08   8.608231  -9.617853
 2014-Aug-22 00:00     4.1309350480E+08   8.672748  -9.759822
 2014-Aug-23 00:00     4.1305151648E+08   8.737332  -9.901806
 2014-Aug-24 00:00     4.1300675971E+08   8.801985 -10.043809
 2014-Aug-25 00:00     4.1295923423E+08   8.866711 -10.185831
 2014-Aug-26 00:00     4.1290893976E+08   8.931509 -10.327875
 2014-Aug-27 00:00     4.1285587602E+08   8.996383 -10.469942
 2014-Aug-28 00:00     4.1280004269E+08   9.061334 -10.612033
 2014-Aug-29 00:00     4.1274143945E+08   9.126363 -10.754151
 2014-Aug-30 00:00     4.1268006595E+08   9.191473 -10.896298
 2014-Aug-31 00:00     4.1261592185E+08   9.256665 -11.038474
 2014-Sep-01 00:00     4.1254900675E+08   9.321941 -11.180682
 2014-Sep-02 00:00     4.1247932026E+08   9.387304 -11.322924
 2014-Sep-03 00:00     4.1240686199E+08   9.452754 -11.465200
 2014-Sep-04 00:00     4.1233163149E+08   9.518294 -11.607514
 2014-Sep-05 00:00     4.1225362834E+08   9.583925 -11.749866
 2014-Sep-06 00:00     4.1217285206E+08   9.649650 -11.892258
 2014-Sep-07 00:00     4.1208930219E+08   9.715470 -12.034693
 2014-Sep-08 00:00     4.1200297822E+08   9.781387 -12.177171
