*******************************************************************************
 2014-Jun-14 00:00     2.5000515901E+08 349.091920  42.807674
 2014-Jun-15 00:00     2.5047796693E+08 349.314229  42.435734
 2014-Jun-16 00:00     2.5094753596E+08 349.533097  42.064764
 2014-Jun-17 00:00     2.5141385492E+08 349.748623  41.694761
 2014-Jun-18 00:00     2.5187691290E+08 349.960904  41.325723
 2014-Jun-19 00:00     2.5233669923E+08 350.170033  40.957646
 2014-Jun-20 00:00     2.5279320352E+08 350.376100  40.590528
 2014-Jun-21 00:00     2.5324641562E+08 350.579191  40.224363
 2014-Jun-22 00:00     2.5369632563E+08 350.779388  39.859148
 2014-Jun-23 00:00     2.5414292388E+08 350.976774  39.494878
 2014-Jun-24 00:00     2.5458620095E+08 351.171425  39.131548
 2014-Jun-25 00:00     2.5502614763E+08 351.363416  38.769154
 2014-Jun-26 00:00     2.5546275496E+08 351.552820  38.407689
 2014-Jun-27 00:00     2.5589601418E+08 351.739706  38.047148
 2014-Jun-28 00:00     2.5632591674E+08 351.924143  37.687525
 2014-Jun-29 00:00     2.5675245430E+08 352.106197  37.328814
 2014-Jun-30 00:00     2.5717561875E+08 352.285929  36.971010
 2014-Jul-01 00:00     2.5759540216E+08 352.463402  36.614104
 2014-Jul-02 00:00     2.5801179678E+08 352.638674  36.258092
 2014-Jul-03 00:00     2.5842479507E+08 352.811804  35.902966
 2014-Jul-04 00:00     2.5883438968E+08 352.982846  35.548719
 2014-Jul-05 00:00     2.5924057342E+08 353.151855  35.195344
 2014-Jul-06 00:00     2.5964333931E+08 353.318882  34.842834
 2014-Jul-07 00:00     2.6004268051E+08 353.483979  34.491182
 2014-Jul-08 00:00     2.6043859038E+08 353.647193  34.140380
 2014-Jul-09 00:00     2.6083106242E+08 353.808573  33.790422
 2014-Jul-10 00:00     2.6122009030E+08 353.968164  33.441299
 2014-Jul-11 00:00     2.6160566787E+08 354.126011  33.093003
 2014-Jul-12 00:00     2.6198778909E+08 354.282157  32.745527
 2014-Jul-13 00:00     2.6236644812E+08 354.436645  32.398864
 2014-Jul-14 00:00     2.6274163923E+08 354.589515  32.053005
 2014-Jul-15 00:00     2.6311335685E+08 354.740807  31.707943
 2014-Jul-16 00:00     2.6348159556E+08 354.890560  31.363669
 2014-Jul-17 00:00     2.6384635006E+08 355.038810  31.020175
