*******************************************************************************
 2014-Aug-19 00:00     3.3169400421E+08 356.322233  16.735788
 2014-Aug-20 00:00     3.3223086439E+08 356.444121  16.525372
 2014-Aug-21 00:00     3.3276458580E+08 356.565354  16.315561
 2014-Aug-22 00:00     3.3329516921E+08 356.685943  16.106349
 2014-Aug-23 00:00     3.3382261542E+08 356.805897  15.897733
 2014-Aug-24 00:00     3.3434692527E+08 356.925227  15.689705
 2014-Aug-25 00:00     3.3486809964E+08 357.043944  15.482261
 2014-Aug-26 00:00     3.3538613942E+08 357.162057  15.275395
 2014-Aug-27 00:00     3.3590104554E+08 357.279575  15.069103
 2014-Aug-28 00:00     3.3641281899E+08 357.396510  14.863379
 2014-Aug-29 00:00     3.3692146074E+08 357.512869  14.658217
 2014-Aug-30 00:00     3.3742697183E+08 357.628662  14.453613
 2014-Aug-31 00:00     3.3792935329E+08 357.743899  14.249562
 2014-Sep-01 00:00     3.3842860622E+08 357.858588  14.046058
 2014-Sep-02 00:00     3.3892473170E+08 357.972739  13.843096
 2014-Sep-03 00:00     3.3941773086E+08 358.086359  13.640673
 2014-Sep-04 00:00     3.3990760485E+08 358.199458  13.438781
 2014-Sep-05 00:00     3.4039435484E+08 358.312043  13.237418
 2014-Sep-06 00:00     3.4087798201E+08 358.424124  13.036577
 2014-Sep-07 00:00     3.4135848759E+08 358.535707  12.836254
 2014-Sep-08 00:00     3.4183587279E+08 358.646802  12.636445
 2014-Sep-09 00:00     3.4231013886E+08 358.757416  12.437143
 2014-Sep-10 00:00     3.4278128708E+08 358.867557  12.238346
 2014-Sep-11 00:00     3.4324931872E+08 358.977232  12.040047
 2014-Sep-12 00:00     3.4371423509E+08 359.086449  11.842243
 2014-Sep-13 00:00     3.4417603749E+08 359.195215  11.644928
 2014-Sep-14 00:00     3.4463472726E+08 359.303537  11.448098
 2014-Sep-15 00:00     3.4509030574E+08 359.411424  11.251749
 2014-Sep-16 00:00     3.4554277428E+08 359.518881  11.055876
 2014-Sep-17 00:00     3.4599213426E+08 359.625916  10.860474
 2014-Sep-18 00:00     3.4643838705E+08 359.732535  10.665540
 2014-Sep-19 00:00     3.4688153404E+08 359.838746  10.471068
 2014-Sep-20 00:00     3.4732157664E+08 359.944554  10.277054
 2014-Sep-21 00:00     3.4775851625E+08   0.049967  10.083494
 2014-Sep-22 00:00     3.4819235430E+08   0.154992   9.890383
 2014-Sep-23 00:00     3.4862309221E+08   0.259633   9.697718
 2014-Sep-24 00:00     3.4905073142E+08   0.363898   9.505494
 2014-Sep-25 00:00     3.4947527337E+08   0.467793   9.313706
 2014-Sep-26 00:00     3.4989671952E+08   0.571323   9.122351
 2014-Sep-27 00:00     3.5031507132E+08   0.674496   8.931424
 2014-Sep-28 00:00     3.5073033023E+08   0.777316   8.740921
 2014-Sep-29 00:00     3.5114249771E+08   0.879790   8.550839
 2014-Sep-30 00:00     3.5155157525E+08   0.981923   8.361172
 2014-Oct-01 00:00     3.5195756432E+08   1.083722   8.171917
 2014-Oct-02 00:00     3.5236046639E+08   1.185191   7.983070
 2014-Oct-03 00:00     3.5276028295E+08   1.286337   7.794627
 2014-Oct-04 00:00     3.5315701549E+08   1.387164   7.606584
 2014-Oct-05 00:00     3.5355066549E+08   1.487679   7.418937
 2014-Oct-06 00:00     3.5394123443E+08   1.587886   7.231682
 2014-Oct-07 00:00     3.5432872382E+08   1.687791   7.044815
 2014-Oct-08 00:00     3.5471313515E+08   1.787399   6.858333
 2014-Oct-09 00:00     3.5509446989E+08   1.886715   6.672231
 2014-Oct-10 00:00     3.5547272955E+08   1.985744   6.486505
 2014-Oct-11 00:00     3.5584791562E+08   2.084491   6.301153
 2014-Oct-12 00:00     3.5622002959E+08   2.182962   6.116170
 2014-Oct-13 00:00     3.5658907294E+08   2.281160   5.931552
 2014-Oct-14 00:00     3.5695504717E+08   2.379092   5.747296
 2014-Oct-15 00:00     3.5731795376E+08   2.476761   5.563398
