*******************************************************************************
 2014-Jun-13 00:00     1.6151531136E+08  45.229405 -21.928746
 2014-Jun-14 00:00     1.6199203183E+08  46.037084 -22.280677
 2014-Jun-15 00:00     1.6246437155E+08  46.844051 -22.626587
 2014-Jun-16 00:00     1.6293225948E+08  47.650366 -22.966492
 2014-Jun-17 00:00     1.6339562663E+08  48.456080 -23.300410
 2014-Jun-18 00:00     1.6385440607E+08  49.261245 -23.628358
 2014-Jun-19 00:00     1.6430853287E+08  50.065909 -23.950354
 2014-Jun-20 00:00     1.6475794401E+08  50.870118 -24.266417
 2014-Jun-21 00:00     1.6520257836E+08  51.673915 -24.576564
 2014-Jun-22 00:00     1.6564237662E+08  52.477339 -24.880813
 2014-Jun-23 00:00     1.6607728128E+08  53.280428 -25.179182
 2014-Jun-24 00:00     1.6650723653E+08  54.083217 -25.471689
 2014-Jun-25 00:00     1.6693218828E+08  54.885738 -25.758352
 2014-Jun-26 00:00     1.6735208405E+08  55.688022 -26.039189
 2014-Jun-27 00:00     1.6776687296E+08  56.490095 -26.314218
 2014-Jun-28 00:00     1.6817650569E+08  57.291984 -26.583458
 2014-Jun-29 00:00     1.6858093440E+08  58.093710 -26.846925
 2014-Jun-30 00:00     1.6898011274E+08  58.895294 -27.104638
 2014-Jul-01 00:00     1.6937399576E+08  59.696754 -27.356615
 2014-Jul-02 00:00     1.6976253992E+08  60.498105 -27.602874
 2014-Jul-03 00:00     1.7014570300E+08  61.299362 -27.843431
 2014-Jul-04 00:00     1.7052344410E+08  62.100536 -28.078305
 2014-Jul-05 00:00     1.7089572358E+08  62.901637 -28.307514
 2014-Jul-06 00:00     1.7126250306E+08  63.702670 -28.531074
 2014-Jul-07 00:00     1.7162374533E+08  64.503643 -28.749004
 2014-Jul-08 00:00     1.7197941438E+08  65.304557 -28.961320
 2014-Jul-09 00:00     1.7232947531E+08  66.105415 -29.168040
 2014-Jul-10 00:00     1.7267389434E+08  66.906215 -29.369181
 2014-Jul-11 00:00     1.7301263876E+08  67.706956 -29.564761
 2014-Jul-12 00:00     1.7334567690E+08  68.507632 -29.754796
 2014-Jul-13 00:00     1.7367297811E+08  69.308239 -29.939305
 2014-Jul-14 00:00     1.7399451274E+08  70.108768 -30.118302
 2014-Jul-15 00:00     1.7431025208E+08  70.909209 -30.291807
 2014-Jul-16 00:00     1.7462016836E+08  71.709553 -30.459836
 2014-Jul-17 00:00     1.7492423472E+08  72.509787 -30.622405
 2014-Jul-18 00:00     1.7522242520E+08  73.309896 -30.779532
 2014-Jul-19 00:00     1.7551471467E+08  74.109865 -30.931234
 2014-Jul-20 00:00     1.7580107888E+08  74.909677 -31.077527
 2014-Jul-21 00:00     1.7608149435E+08  75.709315 -31.218430
 2014-Jul-22 00:00     1.7635593842E+08  76.508759 -31.353958
 2014-Jul-23 00:00     1.7662438920E+08  77.307988 -31.484128
 2014-Jul-24 00:00     1.7688682555E+08  78.106981 -31.608959
 2014-Jul-25 00:00     1.7714322707E+08  78.905714 -31.728466
 2014-Jul-26 00:00     1.7739357405E+08  79.704165 -31.842666
 2014-Jul-27 00:00     1.7763784752E+08  80.502307 -31.951578
 2014-Jul-28 00:00     1.7787602914E+08  81.300115 -32.055217
 2014-Jul-29 00:00     1.7810810126E+08  82.097563 -32.153602
 2014-Jul-30 00:00     1.7833404687E+08  82.894623 -32.246749
 2014-Jul-31 00:00     1.7855384959E+08  83.691268 -32.334676
 2014-Aug-01 00:00     1.7876749364E+08  84.487467 -32.417400
 2014-Aug-02 00:00     1.7897496387E+08  85.283192 -32.494938
 2014-Aug-03 00:00     1.7917624568E+08  86.078413 -32.567308
 2014-Aug-04 00:00     1.7937132507E+08  86.873099 -32.634528
 2014-Aug-05 00:00     1.7956018857E+08  87.667219 -32.696615
 2014-Aug-06 00:00     1.7974282329E+08  88.460742 -32.753586
 2014-Aug-07 00:00     1.7991921684E+08  89.253638 -32.805459
 2014-Aug-08 00:00     1.8008935738E+08  90.045872 -32.852253
 2014-Aug-09 00:00     1.8025323357E+08  90.837415 -32.893984
 2014-Aug-10 00:00     1.8041083456E+08  91.628233 -32.930671
 2014-Aug-11 00:00     1.8056215001E+08  92.418295 -32.962332
 2014-Aug-12 00:00     1.8070717005E+08  93.207569 -32.988985
 2014-Aug-13 00:00     1.8084588529E+08  93.996022 -33.010648
 2014-Aug-14 00:00     1.8097828679E+08  94.783623 -33.027338
 2014-Aug-15 00:00     1.8110436608E+08  95.570339 -33.039075
 2014-Aug-16 00:00     1.8122411512E+08  96.356140 -33.045876
 2014-Aug-17 00:00     1.8133752632E+08  97.140994 -33.047759
 2014-Aug-18 00:00     1.8144459253E+08  97.924870 -33.044744
 2014-Aug-19 00:00     1.8154530701E+08  98.707738 -33.036847
 2014-Aug-20 00:00     1.8163966344E+08  99.489568 -33.024088
 2014-Aug-21 00:00     1.8172765594E+08 100.270331 -33.006485
 2014-Aug-22 00:00     1.8180927900E+08 101.049997 -32.984056
 2014-Aug-23 00:00     1.8188452754E+08 101.828538 -32.956819
 2014-Aug-24 00:00     1.8195339686E+08 102.605927 -32.924793
 2014-Aug-25 00:00     1.8201588268E+08 103.382137 -32.887997
 2014-Aug-26 00:00     1.8207198109E+08 104.157142 -32.846447
 2014-Aug-27 00:00     1.8212168856E+08 104.930916 -32.800164
