*******************************************************************************
 2014-Aug-04 00:00     1.3948212768E+08 218.827498  42.284650
 2014-Aug-05 00:00     1.3957617187E+08 219.958826  43.154829
 2014-Aug-06 00:00     1.3968113523E+08 221.120939  44.012322
 2014-Aug-07 00:00     1.3979695512E+08 222.314991  44.856364
 2014-Aug-08 00:00     1.3992356268E+08 223.542135  45.686165
 2014-Aug-09 00:00     1.4006088299E+08 224.803515  46.500908
 2014-Aug-10 00:00     1.4020883519E+08 226.100253  47.299751
 2014-Aug-11 00:00     1.4036733261E+08 227.433441  48.081826
 2014-Aug-12 00:00     1.4053628295E+08 228.804123  48.846241
 2014-Aug-13 00:00     1.4071558842E+08 230.213286  49.592080
 2014-Aug-14 00:00     1.4090514590E+08 231.661835  50.318403
 2014-Aug-15 00:00     1.4110484714E+08 233.150583  51.024251
 2014-Aug-16 00:00     1.4131457891E+08 234.680221  51.708647
 2014-Aug-17 00:00     1.4153422318E+08 236.251301  52.370597
 2014-Aug-18 00:00     1.4176365735E+08 237.864211  53.009098
 2014-Aug-19 00:00     1.4200275441E+08 239.519150  53.623139
 2014-Aug-20 00:00     1.4225138315E+08 241.216099  54.211707
 2014-Aug-21 00:00     1.4250940835E+08 242.954797  54.773797
 2014-Aug-22 00:00     1.4277669098E+08 244.734716  55.308413
 2014-Aug-23 00:00     1.4305308846E+08 246.555035  55.814581
 2014-Aug-24 00:00     1.4333845478E+08 248.414619  56.291355
 2014-Aug-25 00:00     1.4363264076E+08 250.311998  56.737829
 2014-Aug-26 00:00     1.4393549425E+08 252.245356  57.153145
 2014-Aug-27 00:00     1.4424686034E+08 254.212521  57.536502
 2014-Aug-28 00:00     1.4456658155E+08 256.210965  57.887174
 2014-Aug-29 00:00     1.4489449803E+08 258.237804  58.204510
 2014-Aug-30 00:00     1.4523044780E+08 260.289822  58.487953
 2014-Aug-31 00:00     1.4557426690E+08 262.363487  58.737048
 2014-Sep-01 00:00     1.4592578962E+08 264.454982  58.951444
 2014-Sep-02 00:00     1.4628484869E+08 266.560253  59.130913
 2014-Sep-03 00:00     1.4665127546E+08 268.675049  59.275344
 2014-Sep-04 00:00     1.4702490007E+08 270.794980  59.384755
 2014-Sep-05 00:00     1.4740555167E+08 272.915576  59.459292
 2014-Sep-06 00:00     1.4779305859E+08 275.032345  59.499228
 2014-Sep-07 00:00     1.4818724847E+08 277.140841  59.504961
 2014-Sep-08 00:00     1.4858794847E+08 279.236721  59.477013
 2014-Sep-09 00:00     1.4899498543E+08 281.315802  59.416016
 2014-Sep-10 00:00     1.4940818600E+08 283.374116  59.322712
 2014-Sep-11 00:00     1.4982737682E+08 285.407950  59.197937
 2014-Sep-12 00:00     1.5025238465E+08 287.413888  59.042616
 2014-Sep-13 00:00     1.5068303651E+08 289.388839  58.857745
 2014-Sep-14 00:00     1.5111915982E+08 291.330054  58.644385
 2014-Sep-15 00:00     1.5156058253E+08 293.235136  58.403644
 2014-Sep-16 00:00     1.5200713325E+08 295.102049  58.136672
 2014-Sep-17 00:00     1.5245864133E+08 296.929109  57.844642
 2014-Sep-18 00:00     1.5291493701E+08 298.714972  57.528744
 2014-Sep-19 00:00     1.5337585153E+08 300.458621  57.190175
 2014-Sep-20 00:00     1.5384121719E+08 302.159347  56.830128
 2014-Sep-21 00:00     1.5431086749E+08 303.816720  56.449782
 2014-Sep-22 00:00     1.5478463718E+08 305.430570  56.050299
 2014-Sep-23 00:00     1.5526236237E+08 307.000958  55.632819
 2014-Sep-24 00:00     1.5574388059E+08 308.528152  55.198447
 2014-Sep-25 00:00     1.5622903088E+08 310.012595  54.748260
 2014-Sep-26 00:00     1.5671765385E+08 311.454889  54.283293
 2014-Sep-27 00:00     1.5720959173E+08 312.855765  53.804547
 2014-Sep-28 00:00     1.5770468845E+08 314.216062  53.312977
 2014-Sep-29 00:00     1.5820278968E+08 315.536709  52.809500
 2014-Sep-30 00:00     1.5870374288E+08 316.818705  52.294989
 2014-Oct-01 00:00     1.5920739736E+08 318.063103  51.770275
 2014-Oct-02 00:00     1.5971360429E+08 319.270995  51.236148
 2014-Oct-03 00:00     1.6022221676E+08 320.443500  50.693355
 2014-Oct-04 00:00     1.6073308979E+08 321.581752  50.142604
 2014-Oct-05 00:00     1.6124608040E+08 322.686891  49.584564
 2014-Oct-06 00:00     1.6176104758E+08 323.760054  49.019866
 2014-Oct-07 00:00     1.6227785237E+08 324.802372  48.449103
 2014-Oct-08 00:00     1.6279635780E+08 325.814957  47.872835
 2014-Oct-09 00:00     1.6331642900E+08 326.798904  47.291588
 2014-Oct-10 00:00     1.6383793313E+08 327.755284  46.705857
 2014-Oct-11 00:00     1.6436073944E+08 328.685144  46.116104
 2014-Oct-12 00:00     1.6488471924E+08 329.589500  45.522766
 2014-Oct-13 00:00     1.6540974594E+08 330.469340  44.926249
 2014-Oct-14 00:00     1.6593569502E+08 331.325618  44.326937
 2014-Oct-15 00:00     1.6646244404E+08 332.159259  43.725186
 2014-Oct-16 00:00     1.6698987266E+08 332.971155  43.121331
 2014-Oct-17 00:00     1.6751786257E+08 333.762165  42.515685
 2014-Oct-18 00:00     1.6804629757E+08 334.533117  41.908541
 2014-Oct-19 00:00     1.6857506349E+08 335.284805  41.300172
 2014-Oct-20 00:00     1.6910404821E+08 336.017993  40.690833
 2014-Oct-21 00:00     1.6963314164E+08 336.733416  40.080763
 2014-Oct-22 00:00     1.7016223572E+08 337.431776  39.470183
 2014-Oct-23 00:00     1.7069122439E+08 338.113749  38.859301
 2014-Oct-24 00:00     1.7122000356E+08 338.779982  38.248311
 2014-Oct-25 00:00     1.7174847114E+08 339.431092  37.637391
 2014-Oct-26 00:00     1.7227652696E+08 340.067675  37.026710
 2014-Oct-27 00:00     1.7280407282E+08 340.690298  36.416424
 2014-Oct-28 00:00     1.7333101240E+08 341.299505  35.806677
 2014-Oct-29 00:00     1.7385725127E+08 341.895817  35.197604
 2014-Oct-30 00:00     1.7438269690E+08 342.479733  34.589330
 2014-Oct-31 00:00     1.7490725857E+08 343.051728  33.981972
 2014-Nov-01 00:00     1.7543084740E+08 343.612262  33.375636
 2014-Nov-02 00:00     1.7595337631E+08 344.161769  32.770424
 2014-Nov-03 00:00     1.7647475999E+08 344.700670  32.166426
 2014-Nov-04 00:00     1.7699491488E+08 345.229366  31.563728
 2014-Nov-05 00:00     1.7751375915E+08 345.748239  30.962409
 2014-Nov-06 00:00     1.7803121266E+08 346.257658  30.362541
 2014-Nov-07 00:00     1.7854719696E+08 346.757976  29.764192
 2014-Nov-08 00:00     1.7906163524E+08 347.249529  29.167422
 2014-Nov-09 00:00     1.7957445231E+08 347.732642  28.572287
 2014-Nov-10 00:00     1.8008557457E+08 348.207625  27.978841
 2014-Nov-11 00:00     1.8059493002E+08 348.674775  27.387128
 2014-Nov-12 00:00     1.8110244818E+08 349.134377  26.797193
 2014-Nov-13 00:00     1.8160806009E+08 349.586706  26.209074
 2014-Nov-14 00:00     1.8211169829E+08 350.032025  25.622806
 2014-Nov-15 00:00     1.8261329678E+08 350.470586  25.038422
 2014-Nov-16 00:00     1.8311279101E+08 350.902631  24.455949
 2014-Nov-17 00:00     1.8361011783E+08 351.328393  23.875414
 2014-Nov-18 00:00     1.8410521550E+08 351.748096  23.296840
 2014-Nov-19 00:00     1.8459802363E+08 352.161956  22.720245
 2014-Nov-20 00:00     1.8508848316E+08 352.570179  22.145647
 2014-Nov-21 00:00     1.8557653635E+08 352.972965  21.573063
 2014-Nov-22 00:00     1.8606212677E+08 353.370505  21.002503
 2014-Nov-23 00:00     1.8654519923E+08 353.762985  20.433981
 2014-Nov-24 00:00     1.8702569977E+08 354.150581  19.867503
 2014-Nov-25 00:00     1.8750357567E+08 354.533466  19.303078
 2014-Nov-26 00:00     1.8797877539E+08 354.911804  18.740711
 2014-Nov-27 00:00     1.8845124855E+08 355.285755  18.180406
 2014-Nov-28 00:00     1.8892094593E+08 355.655473  17.622165
 2014-Nov-29 00:00     1.8938781942E+08 356.021106  17.065988
 2014-Nov-30 00:00     1.8985182201E+08 356.382797  16.511876
 2014-Dec-01 00:00     1.9031290777E+08 356.740686  15.959827
 2014-Dec-02 00:00     1.9077103183E+08 357.094905  15.409838
 2014-Dec-03 00:00     1.9122615034E+08 357.445584  14.861905
 2014-Dec-04 00:00     1.9167822046E+08 357.792849  14.316024
 2014-Dec-05 00:00     1.9212720035E+08 358.136820  13.772189
 2014-Dec-06 00:00     1.9257304915E+08 358.477615  13.230394
 2014-Dec-07 00:00     1.9301572692E+08 358.815348  12.690630
 2014-Dec-08 00:00     1.9345519468E+08 359.150128  12.152890
 2014-Dec-09 00:00     1.9389141434E+08 359.482062  11.617165
 2014-Dec-10 00:00     1.9432434871E+08 359.811254  11.083445
 2014-Dec-11 00:00     1.9475396146E+08   0.137805  10.551721
 2014-Dec-12 00:00     1.9518021712E+08   0.461811  10.021983
 2014-Dec-13 00:00     1.9560308108E+08   0.783368   9.494217
 2014-Dec-14 00:00     1.9602251949E+08   1.102568   8.968414
 2014-Dec-15 00:00     1.9643849936E+08   1.419501   8.444562
 2014-Dec-16 00:00     1.9685098844E+08   1.734253   7.922647
 2014-Dec-17 00:00     1.9725995526E+08   2.046910   7.402657
 2014-Dec-18 00:00     1.9766536911E+08   2.357553   6.884579
 2014-Dec-19 00:00     1.9806719998E+08   2.666265   6.368400
 2014-Dec-20 00:00     1.9846541861E+08   2.973122   5.854105
 2014-Dec-21 00:00     1.9885999642E+08   3.278203   5.341682
