*******************************************************************************
 2014-May-23 00:00     1.5246470585E+08 172.717645 -17.350298
 2014-May-24 00:00     1.5240132234E+08 173.234700 -16.695749
 2014-May-25 00:00     1.5232663897E+08 173.748665 -16.039360
 2014-May-26 00:00     1.5224065967E+08 174.259771 -15.381091
 2014-May-27 00:00     1.5214338904E+08 174.768245 -14.720900
 2014-May-28 00:00     1.5203483241E+08 175.274311 -14.058741
 2014-May-29 00:00     1.5191499583E+08 175.778190 -13.394567
 2014-May-30 00:00     1.5178388607E+08 176.280101 -12.728331
 2014-May-31 00:00     1.5164151068E+08 176.780261 -12.059981
 2014-Jun-01 00:00     1.5148787798E+08 177.278885 -11.389465
 2014-Jun-02 00:00     1.5132299712E+08 177.776188 -10.716730
 2014-Jun-03 00:00     1.5114687808E+08 178.272381 -10.041720
 2014-Jun-04 00:00     1.5095953170E+08 178.767677  -9.364378
 2014-Jun-05 00:00     1.5076096973E+08 179.262288  -8.684645
 2014-Jun-06 00:00     1.5055120486E+08 179.756427  -8.002462
 2014-Jun-07 00:00     1.5033025076E+08 180.250306  -7.317766
 2014-Jun-08 00:00     1.5009812211E+08 180.744138  -6.630496
 2014-Jun-09 00:00     1.4985483465E+08 181.238138  -5.940586
 2014-Jun-10 00:00     1.4960040523E+08 181.732523  -5.247972
 2014-Jun-11 00:00     1.4933485186E+08 182.227511  -4.552588
 2014-Jun-12 00:00     1.4905819376E+08 182.723322  -3.854364
 2014-Jun-13 00:00     1.4877045141E+08 183.220180  -3.153233
 2014-Jun-14 00:00     1.4847164663E+08 183.718312  -2.449125
 2014-Jun-15 00:00     1.4816180261E+08 184.217948  -1.741969
 2014-Jun-16 00:00     1.4784094402E+08 184.719323  -1.031694
 2014-Jun-17 00:00     1.4750909704E+08 185.222675  -0.318227
 2014-Jun-18 00:00     1.4716628947E+08 185.728250   0.398506
 2014-Jun-19 00:00     1.4681255076E+08 186.236297   1.118577
 2014-Jun-20 00:00     1.4644791216E+08 186.747072   1.842062
 2014-Jun-21 00:00     1.4607240676E+08 187.260838   2.569035
 2014-Jun-22 00:00     1.4568606960E+08 187.777866   3.299570
 2014-Jun-23 00:00     1.4528893775E+08 188.298434   4.033745
 2014-Jun-24 00:00     1.4488105045E+08 188.822829   4.771633
 2014-Jun-25 00:00     1.4446244920E+08 189.351347   5.513310
 2014-Jun-26 00:00     1.4403317784E+08 189.884296   6.258851
 2014-Jun-27 00:00     1.4359328274E+08 190.421993   7.008332
 2014-Jun-28 00:00     1.4314281287E+08 190.964768   7.761825
 2014-Jun-29 00:00     1.4268181997E+08 191.512962   8.519405
 2014-Jun-30 00:00     1.4221035866E+08 192.066934   9.281142
 2014-Jul-01 00:00     1.4172848663E+08 192.627053  10.047109
 2014-Jul-02 00:00     1.4123626473E+08 193.193706  10.817373
 2014-Jul-03 00:00     1.4073375722E+08 193.767299  11.592003
 2014-Jul-04 00:00     1.4022103187E+08 194.348253  12.371062
 2014-Jul-05 00:00     1.3969816017E+08 194.937012  13.154613
 2014-Jul-06 00:00     1.3916521752E+08 195.534040  13.942715
 2014-Jul-07 00:00     1.3862228345E+08 196.139823  14.735421
 2014-Jul-08 00:00     1.3806944177E+08 196.754874  15.532784
 2014-Jul-09 00:00     1.3750678086E+08 197.379731  16.334848
 2014-Jul-10 00:00     1.3693439387E+08 198.014960  17.141654
 2014-Jul-11 00:00     1.3635237895E+08 198.661161  17.953235
 2014-Jul-12 00:00     1.3576083951E+08 199.318964  18.769618
 2014-Jul-13 00:00     1.3515988454E+08 199.989035  19.590822
 2014-Jul-14 00:00     1.3454962879E+08 200.672080  20.416855
 2014-Jul-15 00:00     1.3393019317E+08 201.368844  21.247716
 2014-Jul-16 00:00     1.3330170497E+08 202.080119  22.083392
 2014-Jul-17 00:00     1.3266429825E+08 202.806744  22.923858
 2014-Jul-18 00:00     1.3201811413E+08 203.549610  23.769072
 2014-Jul-19 00:00     1.3136330116E+08 204.309661  24.618976
 2014-Jul-20 00:00     1.3070001569E+08 205.087904  25.473497
 2014-Jul-21 00:00     1.3002842228E+08 205.885411  26.332536
 2014-Jul-22 00:00     1.2934869404E+08 206.703320  27.195974
 2014-Jul-23 00:00     1.2866101311E+08 207.542848  28.063666
 2014-Jul-24 00:00     1.2796557108E+08 208.405289  28.935437
 2014-Jul-25 00:00     1.2726256943E+08 209.292027  29.811081
 2014-Jul-26 00:00     1.2655222004E+08 210.204537  30.690354
 2014-Jul-27 00:00     1.2583474563E+08 211.144395  31.572975
 2014-Jul-28 00:00     1.2511038034E+08 212.113284  32.458614
 2014-Jul-29 00:00     1.2437937022E+08 213.113003  33.346894
 2014-Jul-30 00:00     1.2364197378E+08 214.145473  34.237380
 2014-Jul-31 00:00     1.2289846260E+08 215.212746  35.129578
 2014-Aug-01 00:00     1.2214912186E+08 216.317014  36.022920
 2014-Aug-02 00:00     1.2139425101E+08 217.460616  36.916764
 2014-Aug-03 00:00     1.2063416435E+08 218.646047  37.810381
 2014-Aug-04 00:00     1.1986919171E+08 219.875963  38.702948
 2014-Aug-05 00:00     1.1909967908E+08 221.153192  39.593532
 2014-Aug-06 00:00     1.1832598929E+08 222.480734  40.481088
 2014-Aug-07 00:00     1.1754850270E+08 223.861766  41.364437
 2014-Aug-08 00:00     1.1676761789E+08 225.299644  42.242256
 2014-Aug-09 00:00     1.1598375237E+08 226.797897  43.113067
 2014-Aug-10 00:00     1.1519734327E+08 228.360218  43.975213
 2014-Aug-11 00:00     1.1440884808E+08 229.990453  44.826851
 2014-Aug-12 00:00     1.1361874530E+08 231.692574  45.665927
 2014-Aug-13 00:00     1.1282753519E+08 233.470646  46.490163
 2014-Aug-14 00:00     1.1203574042E+08 235.328783  47.297038
 2014-Aug-15 00:00     1.1124390673E+08 237.271088  48.083771
 2014-Aug-16 00:00     1.1045260358E+08 239.301573  48.847306
 2014-Aug-17 00:00     1.0966242472E+08 241.424064  49.584300
 2014-Aug-18 00:00     1.0887398879E+08 243.642076  50.291115
 2014-Aug-19 00:00     1.0808793974E+08 245.958674  50.963810
 2014-Aug-20 00:00     1.0730494733E+08 248.376304  51.598153
 2014-Aug-21 00:00     1.0652570747E+08 250.896602  52.189628
 2014-Aug-22 00:00     1.0575094244E+08 253.520188  52.733460
 2014-Aug-23 00:00     1.0498140111E+08 256.246450  53.224659
 2014-Aug-24 00:00     1.0421785891E+08 259.073325  53.658067
 2014-Aug-25 00:00     1.0346111780E+08 261.997105  54.028431
 2014-Aug-26 00:00     1.0271200595E+08 265.012271  54.330490
 2014-Aug-27 00:00     1.0197137736E+08 268.111394  54.559073
 2014-Aug-28 00:00     1.0124011123E+08 271.285108  54.709216
 2014-Aug-29 00:00     1.0051911112E+08 274.522182  54.776276
 2014-Aug-30 00:00     9.9809303924E+07 277.809704  54.756061
 2014-Aug-31 00:00     9.9111638533E+07 281.133374  54.644937
 2014-Sep-01 00:00     9.8427084303E+07 284.477895  54.439934
 2014-Sep-02 00:00     9.7756629187E+07 287.827439  54.138821
 2014-Sep-03 00:00     9.7101277590E+07 291.166157  53.740162
 2014-Sep-04 00:00     9.6462047909E+07 294.478691  53.243338
 2014-Sep-05 00:00     9.5839969751E+07 297.750648  52.648537
 2014-Sep-06 00:00     9.5236080816E+07 300.968999  51.956716
 2014-Sep-07 00:00     9.4651423457E+07 304.122381  51.169542
 2014-Sep-08 00:00     9.4087040893E+07 307.201297  50.289313
 2014-Sep-09 00:00     9.3543973112E+07 310.198191  49.318867
 2014-Sep-10 00:00     9.3023252452E+07 313.107440  48.261490
 2014-Sep-11 00:00     9.2525898895E+07 315.925257  47.120824
 2014-Sep-12 00:00     9.2052915099E+07 318.649528  45.900779
 2014-Sep-13 00:00     9.1605281190E+07 321.279627  44.605456
 2014-Sep-14 00:00     9.1183949384E+07 323.816192  43.239082
 2014-Sep-15 00:00     9.0789838453E+07 326.260914  41.805954
 2014-Sep-16 00:00     9.0423828129E+07 328.616325  40.310395
 2014-Sep-17 00:00     9.0086753475E+07 330.885610  38.756715
 2014-Sep-18 00:00     8.9779399321E+07 333.072433  37.149193
 2014-Sep-19 00:00     8.9502494828E+07 335.180796  35.492049
 2014-Sep-20 00:00     8.9256708243E+07 337.214913  33.789438
 2014-Sep-21 00:00     8.9042641958E+07 339.179110  32.045433
 2014-Sep-22 00:00     8.8860827909E+07 341.077751  30.264026
 2014-Sep-23 00:00     8.8711723427E+07 342.915168  28.449118
 2014-Sep-24 00:00     8.8595707588E+07 344.695622  26.604519
 2014-Sep-25 00:00     8.8513078136E+07 346.423265  24.733945
 2014-Sep-26 00:00     8.8464049035E+07 348.102117  22.841015
 2014-Sep-27 00:00     8.8448748689E+07 349.736052  20.929254
 2014-Sep-28 00:00     8.8467218866E+07 351.328787  19.002081
 2014-Sep-29 00:00     8.8519414354E+07 352.883883  17.062819
 2014-Sep-30 00:00     8.8605203338E+07 354.404741  15.114681
 2014-Oct-01 00:00     8.8724368510E+07 355.894608  13.160776
 2014-Oct-02 00:00     8.8876608876E+07 357.356579  11.204101
 2014-Oct-03 00:00     8.9061542239E+07 358.793610   9.247541
 2014-Oct-04 00:00     8.9278708298E+07   0.208521   7.293864
 2014-Oct-05 00:00     8.9527572322E+07   1.604005   5.345721
 2014-Oct-06 00:00     8.9807529325E+07   2.982639   3.405644
 2014-Oct-07 00:00     9.0117908675E+07   4.346892   1.476043
 2014-Oct-08 00:00     9.0457979058E+07   5.699132  -0.440793
 2014-Oct-09 00:00     9.0826953726E+07   7.041637  -2.342698
 2014-Oct-10 00:00     9.1223995938E+07   8.376600  -4.227626
 2014-Oct-11 00:00     9.1648224535E+07   9.706141  -6.093651
 2014-Oct-12 00:00     9.2098719556E+07  11.032309  -7.938966
 2014-Oct-13 00:00     9.2574527840E+07  12.357094  -9.761877
 2014-Oct-14 00:00     9.3074668545E+07  13.682430 -11.560803
 2014-Oct-15 00:00     9.3598138524E+07  15.010199 -13.334271
 2014-Oct-16 00:00     9.4143917514E+07  16.342241 -15.080909
 2014-Oct-17 00:00     9.4710973097E+07  17.680353 -16.799445
 2014-Oct-18 00:00     9.5298265389E+07  19.026295 -18.488698
 2014-Oct-19 00:00     9.5904751443E+07  20.381794 -20.147575
 2014-Oct-20 00:00     9.6529389334E+07  21.748543 -21.775061
 2014-Oct-21 00:00     9.7171141922E+07  23.128205 -23.370218
 2014-Oct-22 00:00     9.7828980283E+07  24.522412 -24.932177
 2014-Oct-23 00:00     9.8501886809E+07  25.932765 -26.460127
 2014-Oct-24 00:00     9.9188857972E+07  27.360830 -27.953316
 2014-Oct-25 00:00     9.9888906770E+07  28.808141 -29.411041
 2014-Oct-26 00:00     1.0060106486E+08  30.276191 -30.832644
 2014-Oct-27 00:00     1.0132438441E+08  31.766429 -32.217504
 2014-Oct-28 00:00     1.0205793962E+08  33.280253 -33.565036
 2014-Oct-29 00:00     1.0280082804E+08  34.819004 -34.874680
 2014-Oct-30 00:00     1.0355217161E+08  36.383956 -36.145905
 2014-Oct-31 00:00     1.0431111746E+08  37.976305 -37.378199
 2014-Nov-01 00:00     1.0507683855E+08  39.597160 -38.571068
 2014-Nov-02 00:00     1.0584853404E+08  41.247527 -39.724035
 2014-Nov-03 00:00     1.0662542959E+08  42.928299 -40.836638
 2014-Nov-04 00:00     1.0740677742E+08  44.640238 -41.908426
 2014-Nov-05 00:00     1.0819185628E+08  46.383964 -42.938966
 2014-Nov-06 00:00     1.0897997129E+08  48.159940 -43.927843
 2014-Nov-07 00:00     1.0977045366E+08  49.968457 -44.874671
 2014-Nov-08 00:00     1.1056266036E+08  51.809615 -45.779101
 2014-Nov-09 00:00     1.1135597366E+08  53.683289 -46.640846
 2014-Nov-10 00:00     1.1214980067E+08  55.589068 -47.459691
 2014-Nov-11 00:00     1.1294357274E+08  57.526169 -48.235476
 2014-Nov-12 00:00     1.1373674487E+08  59.493381 -48.968035
 2014-Nov-13 00:00     1.1452879513E+08  61.489145 -49.657125
 2014-Nov-14 00:00     1.1531922393E+08  63.511706 -50.302446
 2014-Nov-15 00:00     1.1610755339E+08  65.559192 -50.903748
 2014-Nov-16 00:00     1.1689332661E+08  67.629555 -51.460905
 2014-Nov-17 00:00     1.1767610700E+08  69.720484 -51.973934
 2014-Nov-18 00:00     1.1845547755E+08  71.829368 -52.442970
 2014-Nov-19 00:00     1.1923104013E+08  73.953311 -52.868250
 2014-Nov-20 00:00     1.2000241479E+08  76.089163 -53.250099
 2014-Nov-21 00:00     1.2076923909E+08  78.233570 -53.588935
 2014-Nov-22 00:00     1.2153116736E+08  80.383018 -53.885265
 2014-Nov-23 00:00     1.2228787009E+08  82.533878 -54.139689
 2014-Nov-24 00:00     1.2303903324E+08  84.682457 -54.352902
 2014-Nov-25 00:00     1.2378435759E+08  86.825047 -54.525688
 2014-Nov-26 00:00     1.2452355815E+08  88.957971 -54.658919
 2014-Nov-27 00:00     1.2525636352E+08  91.077634 -54.753553
 2014-Nov-28 00:00     1.2598251532E+08  93.180563 -54.810623
 2014-Nov-29 00:00     1.2670176760E+08  95.263449 -54.831231
 2014-Nov-30 00:00     1.2741388631E+08  97.323183 -54.816541
 2014-Dec-01 00:00     1.2811864878E+08  99.356885 -54.767769
 2014-Dec-02 00:00     1.2881584316E+08 101.361927 -54.686171
 2014-Dec-03 00:00     1.2950526796E+08 103.335951 -54.573035
 2014-Dec-04 00:00     1.3018673158E+08 105.276878 -54.429672
 2014-Dec-05 00:00     1.3086005184E+08 107.182914 -54.257404
 2014-Dec-06 00:00     1.3152505554E+08 109.052549 -54.057555
 2014-Dec-07 00:00     1.3218157806E+08 110.884552 -53.831444
 2014-Dec-08 00:00     1.3282946294E+08 112.677959 -53.580377
 2014-Dec-09 00:00     1.3346856150E+08 114.432061 -53.305637
 2014-Dec-10 00:00     1.3409873248E+08 116.146387 -53.008482
 2014-Dec-11 00:00     1.3471984165E+08 117.820686 -52.690137
 2014-Dec-12 00:00     1.3533176155E+08 119.454910 -52.351789
 2014-Dec-13 00:00     1.3593437109E+08 121.049190 -51.994586
 2014-Dec-14 00:00     1.3652755529E+08 122.603820 -51.619635
 2014-Dec-15 00:00     1.3711120495E+08 124.119234 -51.227993
 2014-Dec-16 00:00     1.3768521643E+08 125.595992 -50.820674
 2014-Dec-17 00:00     1.3824949131E+08 127.034754 -50.398645
 2014-Dec-18 00:00     1.3880393619E+08 128.436273 -49.962823
 2014-Dec-19 00:00     1.3934846242E+08 129.801371 -49.514080
 2014-Dec-20 00:00     1.3988298587E+08 131.130932 -49.053240
