*******************************************************************************
 2014-Oct-13 00:00     1.1517628674E+08  12.309592 -10.602175
 2014-Oct-14 00:00     1.1502124270E+08  13.112433 -11.944171
 2014-Oct-15 00:00     1.1487601573E+08  13.925443 -13.287455
 2014-Oct-16 00:00     1.1474073862E+08  14.749568 -14.631494
 2014-Oct-17 00:00     1.1461553585E+08  15.585797 -15.975733
 2014-Oct-18 00:00     1.1450052340E+08  16.435161 -17.319593
 2014-Oct-19 00:00     1.1439580840E+08  17.298741 -18.662476
 2014-Oct-20 00:00     1.1430148894E+08  18.177672 -20.003760
 2014-Oct-21 00:00     1.1421765378E+08  19.073142 -21.342795
 2014-Oct-22 00:00     1.1414438219E+08  19.986403 -22.678908
 2014-Oct-23 00:00     1.1408174374E+08  20.918770 -24.011396
 2014-Oct-24 00:00     1.1402979811E+08  21.871628 -25.339528
 2014-Oct-25 00:00     1.1398859496E+08  22.846438 -26.662539
 2014-Oct-26 00:00     1.1395817382E+08  23.844739 -27.979633
 2014-Oct-27 00:00     1.1393856396E+08  24.868154 -29.289976
 2014-Oct-28 00:00     1.1392978436E+08  25.918395 -30.592699
 2014-Oct-29 00:00     1.1393184362E+08  26.997267 -31.886888
 2014-Oct-30 00:00     1.1394473997E+08  28.106673 -33.171588
 2014-Oct-31 00:00     1.1396846125E+08  29.248618 -34.445795
 2014-Nov-01 00:00     1.1400298496E+08  30.425213 -35.708455
 2014-Nov-02 00:00     1.1404827832E+08  31.638676 -36.958461
 2014-Nov-03 00:00     1.1410429831E+08  32.891332 -38.194646
 2014-Nov-04 00:00     1.1417099183E+08  34.185619 -39.415780
 2014-Nov-05 00:00     1.1424829582E+08  35.524078 -40.620567
 2014-Nov-06 00:00     1.1433613737E+08  36.909352 -41.807637
 2014-Nov-07 00:00     1.1443443395E+08  38.344178 -42.975544
 2014-Nov-08 00:00     1.1454309359E+08  39.831376 -44.122757
 2014-Nov-09 00:00     1.1466201509E+08  41.373828 -45.247656
 2014-Nov-10 00:00     1.1479108828E+08  42.974459 -46.348523
 2014-Nov-11 00:00     1.1493019427E+08  44.636212 -47.423532
 2014-Nov-12 00:00     1.1507920569E+08  46.362016 -48.470733
 2014-Nov-13 00:00     1.1523798706E+08  48.154770 -49.488024
 2014-Nov-14 00:00     1.1540639501E+08  50.017396 -50.473102
 2014-Nov-15 00:00     1.1558427867E+08  51.953153 -51.423416
 2014-Nov-16 00:00     1.1577147994E+08  53.966768 -52.336526
 2014-Nov-17 00:00     1.1596783386E+08  56.064604 -53.212978
 2014-Nov-18 00:00     1.1617316895E+08  58.240127 -54.056376
 2014-Nov-19 00:00     1.1638730759E+08  60.482279 -54.857536
 2014-Nov-20 00:00     1.1661006632E+08  62.799440 -55.609410
 2014-Nov-21 00:00     1.1684125626E+08  65.195333 -56.311241
 2014-Nov-22 00:00     1.1708068345E+08  67.668579 -56.961764
 2014-Nov-23 00:00     1.1732814922E+08  70.216131 -57.559050
 2014-Nov-24 00:00     1.1758345056E+08  72.833837 -58.101004
 2014-Nov-25 00:00     1.1784638046E+08  75.516411 -58.585589
 2014-Nov-26 00:00     1.1811672833E+08  78.257384 -59.010940
 2014-Nov-27 00:00     1.1839428029E+08  81.049105 -59.375438
 2014-Nov-28 00:00     1.1867881958E+08  83.882806 -59.677762
 2014-Nov-29 00:00     1.1897012685E+08  86.748732 -59.916942
 2014-Nov-30 00:00     1.1926798055E+08  89.636328 -60.092389
 2014-Dec-01 00:00     1.1957215725E+08  92.534474 -60.203928
 2014-Dec-02 00:00     1.1988243194E+08  95.431761 -60.251809
 2014-Dec-03 00:00     1.2019857838E+08  98.316778 -60.236707
 2014-Dec-04 00:00     1.2052036936E+08 101.178404 -60.159711
 2014-Dec-05 00:00     1.2084757704E+08 104.006086 -60.022295
 2014-Dec-06 00:00     1.2117997322E+08 106.790076 -59.826286
 2014-Dec-07 00:00     1.2151732959E+08 109.521622 -59.573814
 2014-Dec-08 00:00     1.2185941804E+08 112.193109 -59.267263
 2014-Dec-09 00:00     1.2220601084E+08 114.798137 -58.909218
 2014-Dec-10 00:00     1.2255688096E+08 117.331548 -58.502405
 2014-Dec-11 00:00     1.2291180222E+08 119.789405 -58.049647
 2014-Dec-12 00:00     1.2327054956E+08 122.168931 -57.553808
 2014-Dec-13 00:00     1.2363289923E+08 124.468415 -57.017753
 2014-Dec-14 00:00     1.2399862896E+08 126.687106 -56.444313
 2014-Dec-15 00:00     1.2436751815E+08 128.825087 -55.836251
 2014-Dec-16 00:00     1.2473934807E+08 130.883152 -55.196240
 2014-Dec-17 00:00     1.2511390197E+08 132.862682 -54.526845
 2014-Dec-18 00:00     1.2549096523E+08 134.765535 -53.830509
 2014-Dec-19 00:00     1.2587032556E+08 136.593936 -53.109543
 2014-Dec-20 00:00     1.2625177301E+08 138.350386 -52.366125
 2014-Dec-21 00:00     1.2663510021E+08 140.037581 -51.602296
