*******************************************************************************
 2014-Aug-25 00:00     1.9025216549E+08  93.252948 -68.227272
 2014-Aug-26 00:00     1.9037883586E+08  94.828073 -68.218955
 2014-Aug-27 00:00     1.9049785427E+08  96.398981 -68.195773
 2014-Aug-28 00:00     1.9060921778E+08  97.963787 -68.157827
 2014-Aug-29 00:00     1.9071292367E+08  99.520657 -68.105244
 2014-Aug-30 00:00     1.9080896940E+08 101.067813 -68.038173
 2014-Aug-31 00:00     1.9089735263E+08 102.603550 -67.956786
 2014-Sep-01 00:00     1.9097807119E+08 104.126249 -67.861276
 2014-Sep-02 00:00     1.9105112310E+08 105.634382 -67.751854
 2014-Sep-03 00:00     1.9111650658E+08 107.126522 -67.628750
 2014-Sep-04 00:00     1.9117421998E+08 108.601349 -67.492209
 2014-Sep-05 00:00     1.9122426186E+08 110.057656 -67.342490
 2014-Sep-06 00:00     1.9126663093E+08 111.494350 -67.179863
 2014-Sep-07 00:00     1.9130132606E+08 112.910455 -67.004609
 2014-Sep-08 00:00     1.9132834631E+08 114.305111 -66.817016
 2014-Sep-09 00:00     1.9134769087E+08 115.677574 -66.617380
 2014-Sep-10 00:00     1.9135935912E+08 117.027212 -66.406001
 2014-Sep-11 00:00     1.9136335059E+08 118.353502 -66.183181
 2014-Sep-12 00:00     1.9135966496E+08 119.656027 -65.949223
 2014-Sep-13 00:00     1.9134830209E+08 120.934469 -65.704431
 2014-Sep-14 00:00     1.9132926198E+08 122.188604 -65.449106
 2014-Sep-15 00:00     1.9130254481E+08 123.418297 -65.183549
 2014-Sep-16 00:00     1.9126815090E+08 124.623494 -64.908053
 2014-Sep-17 00:00     1.9122608074E+08 125.804216 -64.622910
 2014-Sep-18 00:00     1.9117633500E+08 126.960554 -64.328403
 2014-Sep-19 00:00     1.9111891450E+08 128.092661 -64.024810
 2014-Sep-20 00:00     1.9105382022E+08 129.200745 -63.712403
 2014-Sep-21 00:00     1.9098105332E+08 130.285066 -63.391444
 2014-Sep-22 00:00     1.9090061514E+08 131.345927 -63.062189
 2014-Sep-23 00:00     1.9081250719E+08 132.383670 -62.724884
 2014-Sep-24 00:00     1.9071673114E+08 133.398670 -62.379768
 2014-Sep-25 00:00     1.9061328887E+08 134.391330 -62.027068
 2014-Sep-26 00:00     1.9050218244E+08 135.362079 -61.667006
 2014-Sep-27 00:00     1.9038341410E+08 136.311365 -61.299792
 2014-Sep-28 00:00     1.9025698630E+08 137.239650 -60.925628
 2014-Sep-29 00:00     1.9012290168E+08 138.147411 -60.544706
 2014-Sep-30 00:00     1.8998116310E+08 139.035135 -60.157212
 2014-Oct-01 00:00     1.8983177363E+08 139.903312 -59.763321
 2014-Oct-02 00:00     1.8967473657E+08 140.752439 -59.363197
 2014-Oct-03 00:00     1.8951005544E+08 141.583014 -58.957000
 2014-Oct-04 00:00     1.8933773398E+08 142.395535 -58.544879
 2014-Oct-05 00:00     1.8915777621E+08 143.190496 -58.126976
 2014-Oct-06 00:00     1.8897018637E+08 143.968391 -57.703423
 2014-Oct-07 00:00     1.8877496897E+08 144.729705 -57.274347
 2014-Oct-08 00:00     1.8857212879E+08 145.474921 -56.839865
 2014-Oct-09 00:00     1.8836167088E+08 146.204513 -56.400089
 2014-Oct-10 00:00     1.8814360061E+08 146.918947 -55.955123
 2014-Oct-11 00:00     1.8791792362E+08 147.618681 -55.505063
 2014-Oct-12 00:00     1.8768464586E+08 148.304164 -55.050000
 2014-Oct-13 00:00     1.8744377363E+08 148.975837 -54.590018
 2014-Oct-14 00:00     1.8719531354E+08 149.634128 -54.125194
 2014-Oct-15 00:00     1.8693927255E+08 150.279459 -53.655601
 2014-Oct-16 00:00     1.8667565801E+08 150.912238 -53.181304
 2014-Oct-17 00:00     1.8640447762E+08 151.532866 -52.702365
 2014-Oct-18 00:00     1.8612573948E+08 152.141733 -52.218838
 2014-Oct-19 00:00     1.8583945209E+08 152.739216 -51.730773
 2014-Oct-20 00:00     1.8554562439E+08 153.325687 -51.238215
 2014-Oct-21 00:00     1.8524426574E+08 153.901502 -50.741205
