*******************************************************************************
 2014-Jun-08 00:00     2.9860706357E+08  35.312966 -60.373394
 2014-Jun-09 00:00     2.9810951230E+08  35.656460 -60.604173
 2014-Jun-10 00:00     2.9760824630E+08  36.006069 -60.834828
 2014-Jun-11 00:00     2.9710326558E+08  36.361958 -61.065338
 2014-Jun-12 00:00     2.9659457021E+08  36.724296 -61.295680
 2014-Jun-13 00:00     2.9608216035E+08  37.093260 -61.525832
 2014-Jun-14 00:00     2.9556603619E+08  37.469029 -61.755767
 2014-Jun-15 00:00     2.9504619802E+08  37.851791 -61.985461
 2014-Jun-16 00:00     2.9452264619E+08  38.241738 -62.214886
 2014-Jun-17 00:00     2.9399538115E+08  38.639067 -62.444012
 2014-Jun-18 00:00     2.9346440340E+08  39.043984 -62.672811
 2014-Jun-19 00:00     2.9292971354E+08  39.456698 -62.901249
 2014-Jun-20 00:00     2.9239131224E+08  39.877426 -63.129293
 2014-Jun-21 00:00     2.9184920029E+08  40.306391 -63.356909
 2014-Jun-22 00:00     2.9130337852E+08  40.743824 -63.584059
 2014-Jun-23 00:00     2.9075384790E+08  41.189962 -63.810704
 2014-Jun-24 00:00     2.9020060948E+08  41.645047 -64.036803
 2014-Jun-25 00:00     2.8964366439E+08  42.109331 -64.262314
 2014-Jun-26 00:00     2.8908301390E+08  42.583071 -64.487191
 2014-Jun-27 00:00     2.8851865936E+08  43.066533 -64.711388
 2014-Jun-28 00:00     2.8795060225E+08  43.559989 -64.934853
 2014-Jun-29 00:00     2.8737884413E+08  44.063718 -65.157536
 2014-Jun-30 00:00     2.8680338671E+08  44.578009 -65.379382
 2014-Jul-01 00:00     2.8622423181E+08  45.103155 -65.600332
 2014-Jul-02 00:00     2.8564138138E+08  45.639459 -65.820327
 2014-Jul-03 00:00     2.8505483748E+08  46.187230 -66.039304
 2014-Jul-04 00:00     2.8446460232E+08  46.746785 -66.257196
 2014-Jul-05 00:00     2.8387067825E+08  47.318447 -66.473935
 2014-Jul-06 00:00     2.8327306775E+08  47.902548 -66.689446
 2014-Jul-07 00:00     2.8267177344E+08  48.499424 -66.903655
 2014-Jul-08 00:00     2.8206679810E+08  49.109420 -67.116480
 2014-Jul-09 00:00     2.8145814467E+08  49.732885 -67.327839
 2014-Jul-10 00:00     2.8084581624E+08  50.370176 -67.537644
 2014-Jul-11 00:00     2.8022981607E+08  51.021653 -67.745803
 2014-Jul-12 00:00     2.7961014758E+08  51.687681 -67.952221
 2014-Jul-13 00:00     2.7898681437E+08  52.368630 -68.156796
