*******************************************************************************
 2014-May-12 00:00     1.0311321462E+08 250.780227  53.359456
 2014-May-13 00:00     1.0256202521E+08 253.886922  53.973184
 2014-May-14 00:00     1.0203608781E+08 257.114466  54.509661
 2014-May-15 00:00     1.0153628615E+08 260.454694  54.962104
 2014-May-16 00:00     1.0106348190E+08 263.896343  55.324057
 2014-May-17 00:00     1.0061851035E+08 267.425038  55.589595
 2014-May-18 00:00     1.0020217605E+08 271.023483  55.753542
 2014-May-19 00:00     9.9815248397E+07 274.671875  55.811668
 2014-May-20 00:00     9.9458457164E+07 278.348545  55.760868
 2014-May-21 00:00     9.9132488207E+07 282.030755  55.599290
 2014-May-22 00:00     9.8837979212E+07 285.695618  55.326407
 2014-May-23 00:00     9.8575515635E+07 289.321024  54.943022
 2014-May-24 00:00     9.8345626858E+07 292.886489  54.451214
 2014-May-25 00:00     9.8148782632E+07 296.373851  53.854227
 2014-May-26 00:00     9.7985389839E+07 299.767758  53.156310
 2014-May-27 00:00     9.7855789638E+07 303.055936  52.362533
 2014-May-28 00:00     9.7760255030E+07 306.229229  51.478599
 2014-May-29 00:00     9.7698988886E+07 309.281474  50.510647
 2014-May-30 00:00     9.7672122462E+07 312.209230  49.465080
 2014-May-31 00:00     9.7679714440E+07 315.011429  48.348412
 2014-Jun-01 00:00     9.7721750491E+07 317.688985  47.167133
 2014-Jun-02 00:00     9.7798143381E+07 320.244403  45.927618
 2014-Jun-03 00:00     9.7908733625E+07 322.681405  44.636037
 2014-Jun-04 00:00     9.8053290649E+07 325.004605  43.298310
 2014-Jun-05 00:00     9.8231514477E+07 327.219216  41.920063
 2014-Jun-06 00:00     9.8443037892E+07 329.330824  40.506608
 2014-Jun-07 00:00     9.8687429037E+07 331.345195  39.062931
 2014-Jun-08 00:00     9.8964194434E+07 333.268125  37.593689
 2014-Jun-09 00:00     9.9272782350E+07 335.105336  36.103219
 2014-Jun-10 00:00     9.9612586475E+07 336.862391  34.595541
 2014-Jun-11 00:00     9.9982949859E+07 338.544638  33.074370
 2014-Jun-12 00:00     1.0038316905E+08 340.157177  31.543135
 2014-Jun-13 00:00     1.0081249838E+08 341.704835  30.004988
 2014-Jun-14 00:00     1.0127015432E+08 343.192159  28.462820
 2014-Jun-15 00:00     1.0175531996E+08 344.623413  26.919279
 2014-Jun-16 00:00     1.0226714934E+08 346.002584  25.376780
 2014-Jun-17 00:00     1.0280477188E+08 347.333387  23.837523
 2014-Jun-18 00:00     1.0336729665E+08 348.619285  22.303508
 2014-Jun-19 00:00     1.0395381646E+08 349.863494  20.776542
 2014-Jun-20 00:00     1.0456341191E+08 351.069001  19.258259
 2014-Jun-21 00:00     1.0519515518E+08 352.238581  17.750127
 2014-Jun-22 00:00     1.0584811359E+08 353.374809  16.253463
 2014-Jun-23 00:00     1.0652135302E+08 354.480074  14.769441
 2014-Jun-24 00:00     1.0721394102E+08 355.556594  13.299103
 2014-Jun-25 00:00     1.0792494975E+08 356.606432  11.843370
 2014-Jun-26 00:00     1.0865345857E+08 357.631500  10.403051
 2014-Jun-27 00:00     1.0939855651E+08 358.633581   8.978849
 2014-Jun-28 00:00     1.1015934441E+08 359.614332   7.571375
 2014-Jun-29 00:00     1.1093493685E+08   0.575297   6.181148
 2014-Jun-30 00:00     1.1172446383E+08   1.517917   4.808609
 2014-Jul-01 00:00     1.1252707228E+08   2.443534   3.454125
 2014-Jul-02 00:00     1.1334192733E+08   3.353406   2.117995
 2014-Jul-03 00:00     1.1416821333E+08   4.248708   0.800457
 2014-Jul-04 00:00     1.1500513480E+08   5.130541  -0.498307
 2014-Jul-05 00:00     1.1585191708E+08   5.999937  -1.778165
 2014-Jul-06 00:00     1.1670780694E+08   6.857868  -3.039031
 2014-Jul-07 00:00     1.1757207295E+08   7.705245  -4.280860
 2014-Jul-08 00:00     1.1844400576E+08   8.542927  -5.503643
 2014-Jul-09 00:00     1.1932291826E+08   9.371726  -6.707405
 2014-Jul-10 00:00     1.2020814562E+08  10.192404  -7.892199
 2014-Jul-11 00:00     1.2109904524E+08  11.005688  -9.058105
 2014-Jul-12 00:00     1.2199499662E+08  11.812261 -10.205227
 2014-Jul-13 00:00     1.2289540111E+08  12.612773 -11.333686
 2014-Jul-14 00:00     1.2379968170E+08  13.407841 -12.443622
 2014-Jul-15 00:00     1.2470728261E+08  14.198053 -13.535191
 2014-Jul-16 00:00     1.2561766897E+08  14.983966 -14.608561
 2014-Jul-17 00:00     1.2653032633E+08  15.766115 -15.663909
 2014-Jul-18 00:00     1.2744476028E+08  16.545006 -16.701425
 2014-Jul-19 00:00     1.2836049590E+08  17.321128 -17.721302
 2014-Jul-20 00:00     1.2927707728E+08  18.094946 -18.723742
 2014-Jul-21 00:00     1.3019406701E+08  18.866907 -19.708951
 2014-Jul-22 00:00     1.3111104562E+08  19.637438 -20.677137
 2014-Jul-23 00:00     1.3202761105E+08  20.406952 -21.628511
 2014-Jul-24 00:00     1.3294337810E+08  21.175845 -22.563286
 2014-Jul-25 00:00     1.3385797790E+08  21.944498 -23.481672
 2014-Jul-26 00:00     1.3477105734E+08  22.713280 -24.383884
 2014-Jul-27 00:00     1.3568227854E+08  23.482545 -25.270130
 2014-Jul-28 00:00     1.3659131832E+08  24.252636 -26.140619
 2014-Jul-29 00:00     1.3749786766E+08  25.023883 -26.995558
 2014-Jul-30 00:00     1.3840163120E+08  25.796609 -27.835149
 2014-Jul-31 00:00     1.3930232672E+08  26.571122 -28.659592
 2014-Aug-01 00:00     1.4019968461E+08  27.347724 -29.469083
 2014-Aug-02 00:00     1.4109344740E+08  28.126705 -30.263813
 2014-Aug-03 00:00     1.4198336928E+08  28.908347 -31.043969
 2014-Aug-04 00:00     1.4286921556E+08  29.692925 -31.809734
 2014-Aug-05 00:00     1.4375076217E+08  30.480703 -32.561284
 2014-Aug-06 00:00     1.4462779520E+08  31.271939 -33.298793
 2014-Aug-07 00:00     1.4550011028E+08  32.066883 -34.022426
 2014-Aug-08 00:00     1.4636751211E+08  32.865779 -34.732346
 2014-Aug-09 00:00     1.4722981386E+08  33.668861 -35.428708
 2014-Aug-10 00:00     1.4808683673E+08  34.476360 -36.111663
 2014-Aug-11 00:00     1.4893840944E+08  35.288500 -36.781355
 2014-Aug-12 00:00     1.4978436801E+08  36.105498 -37.437925
 2014-Aug-13 00:00     1.5062455551E+08  36.927568 -38.081505
 2014-Aug-14 00:00     1.5145882201E+08  37.754919 -38.712228
 2014-Aug-15 00:00     1.5228702457E+08  38.587757 -39.330220
 2014-Aug-16 00:00     1.5310902717E+08  39.426282 -39.935608
 2014-Aug-17 00:00     1.5392470054E+08  40.270691 -40.528522
 2014-Aug-18 00:00     1.5473392198E+08  41.121167 -41.109096
 2014-Aug-19 00:00     1.5553657502E+08  41.977880 -41.677469
 2014-Aug-20 00:00     1.5633254913E+08  42.840969 -42.233789
 2014-Aug-21 00:00     1.5712173931E+08  43.710531 -42.778203
 2014-Aug-22 00:00     1.5790404583E+08  44.586616 -43.310841
 2014-Aug-23 00:00     1.5867937391E+08  45.469227 -43.831805
 2014-Aug-24 00:00     1.5944763343E+08  46.358349 -44.341152
