*******************************************************************************
 2014-Sep-02 00:00     1.6394934900E+08 208.659985  42.795834
 2014-Sep-03 00:00     1.6433651464E+08 209.312168  43.530896
 2014-Sep-04 00:00     1.6472537298E+08 209.977209  44.258720
 2014-Sep-05 00:00     1.6511582588E+08 210.655612  44.979179
 2014-Sep-06 00:00     1.6550777614E+08 211.347894  45.692140
 2014-Sep-07 00:00     1.6590112753E+08 212.054590  46.397465
 2014-Sep-08 00:00     1.6629578479E+08 212.776249  47.095012
 2014-Sep-09 00:00     1.6669165366E+08 213.513436  47.784628
 2014-Sep-10 00:00     1.6708864089E+08 214.266731  48.466159
 2014-Sep-11 00:00     1.6748665426E+08 215.036729  49.139441
 2014-Sep-12 00:00     1.6788560259E+08 215.824041  49.804302
 2014-Sep-13 00:00     1.6828539576E+08 216.629290  50.460565
 2014-Sep-14 00:00     1.6868594472E+08 217.453113  51.108043
 2014-Sep-15 00:00     1.6908716149E+08 218.296160  51.746541
 2014-Sep-16 00:00     1.6948895916E+08 219.159091  52.375855
 2014-Sep-17 00:00     1.6989125194E+08 220.042577  52.995772
 2014-Sep-18 00:00     1.7029395510E+08 220.947296  53.606070
 2014-Sep-19 00:00     1.7069698505E+08 221.873930  54.206516
 2014-Sep-20 00:00     1.7110025929E+08 222.823165  54.796867
 2014-Sep-21 00:00     1.7150369640E+08 223.795688  55.376871
 2014-Sep-22 00:00     1.7190721612E+08 224.792180  55.946263
 2014-Sep-23 00:00     1.7231073927E+08 225.813318  56.504770
 2014-Sep-24 00:00     1.7271418777E+08 226.859763  57.052106
 2014-Sep-25 00:00     1.7311748469E+08 227.932162  57.587974
 2014-Sep-26 00:00     1.7352055418E+08 229.031137  58.112068
 2014-Sep-27 00:00     1.7392332149E+08 230.157281  58.624069
 2014-Sep-28 00:00     1.7432571299E+08 231.311152  59.123648
 2014-Sep-29 00:00     1.7472765615E+08 232.493263  59.610469
 2014-Sep-30 00:00     1.7512907951E+08 233.704076  60.084181
 2014-Oct-01 00:00     1.7552991273E+08 234.943990  60.544430
 2014-Oct-02 00:00     1.7593008653E+08 236.213335  60.990849
 2014-Oct-03 00:00     1.7632953272E+08 237.512357  61.423068
 2014-Oct-04 00:00     1.7672818419E+08 238.841215  61.840710
 2014-Oct-05 00:00     1.7712597487E+08 240.199961  62.243392
 2014-Oct-06 00:00     1.7752283977E+08 241.588538  62.630733
 2014-Oct-07 00:00     1.7791871493E+08 243.006760  63.002347
 2014-Oct-08 00:00     1.7831353745E+08 244.454310  63.357854
 2014-Oct-09 00:00     1.7870724543E+08 245.930722  63.696875
 2014-Oct-10 00:00     1.7909977804E+08 247.435379  64.019040
 2014-Oct-11 00:00     1.7949107542E+08 248.967499  64.323988
 2014-Oct-12 00:00     1.7988107874E+08 250.526128  64.611371
 2014-Oct-13 00:00     1.8026973015E+08 252.110140  64.880857
 2014-Oct-14 00:00     1.8065697279E+08 253.718231  65.132135
 2014-Oct-15 00:00     1.8104275078E+08 255.348916  65.364913
 2014-Oct-16 00:00     1.8142700921E+08 257.000537  65.578929
 2014-Oct-17 00:00     1.8180969409E+08 258.671261  65.773949
 2014-Oct-18 00:00     1.8219075241E+08 260.359096  65.949771
 2014-Oct-19 00:00     1.8257013207E+08 262.061895  66.106228
 2014-Oct-20 00:00     1.8294778190E+08 263.777377  66.243194
 2014-Oct-21 00:00     1.8332365164E+08 265.503137  66.360581
 2014-Oct-22 00:00     1.8369769193E+08 267.236674  66.458344
 2014-Oct-23 00:00     1.8406985428E+08 268.975406  66.536483
 2014-Oct-24 00:00     1.8444009111E+08 270.716699  66.595042
 2014-Oct-25 00:00     1.8480835567E+08 272.457891  66.634111
 2014-Oct-26 00:00     1.8517460208E+08 274.196316  66.653824
 2014-Oct-27 00:00     1.8553878531E+08 275.929334  66.654361
 2014-Oct-28 00:00     1.8590086114E+08 277.654352  66.635946
 2014-Oct-29 00:00     1.8626078619E+08 279.368852  66.598841
 2014-Oct-30 00:00     1.8661851788E+08 281.070414  66.543350
 2014-Oct-31 00:00     1.8697401443E+08 282.756730  66.469814
 2014-Nov-01 00:00     1.8732723484E+08 284.425631  66.378606
 2014-Nov-02 00:00     1.8767813888E+08 286.075096  66.270130
 2014-Nov-03 00:00     1.8802668710E+08 287.703263  66.144816
 2014-Nov-04 00:00     1.8837284078E+08 289.308442  66.003119
 2014-Nov-05 00:00     1.8871656197E+08 290.889117  65.845512
 2014-Nov-06 00:00     1.8905781342E+08 292.443952  65.672484
 2014-Nov-07 00:00     1.8939655862E+08 293.971787  65.484537
 2014-Nov-08 00:00     1.8973276175E+08 295.471638  65.282181
 2014-Nov-09 00:00     1.9006638771E+08 296.942692  65.065932
 2014-Nov-10 00:00     1.9039740208E+08 298.384299  64.836308
 2014-Nov-11 00:00     1.9072577109E+08 299.795967  64.593828
 2014-Nov-12 00:00     1.9105146168E+08 301.177347  64.339004
 2014-Nov-13 00:00     1.9137444140E+08 302.528232  64.072348
 2014-Nov-14 00:00     1.9169467849E+08 303.848536  63.794362
 2014-Nov-15 00:00     1.9201214178E+08 305.138290  63.505537
 2014-Nov-16 00:00     1.9232680077E+08 306.397628  63.206357
 2014-Nov-17 00:00     1.9263862553E+08 307.626779  62.897291
 2014-Nov-18 00:00     1.9294758678E+08 308.826053  62.578797
 2014-Nov-19 00:00     1.9325365580E+08 309.995831  62.251318
 2014-Nov-20 00:00     1.9355680447E+08 311.136558  61.915282
 2014-Nov-21 00:00     1.9385700526E+08 312.248733  61.571104
 2014-Nov-22 00:00     1.9415423117E+08 313.332897  61.219183
 2014-Nov-23 00:00     1.9444845581E+08 314.389631  60.859901
 2014-Nov-24 00:00     1.9473965328E+08 315.419545  60.493626
 2014-Nov-25 00:00     1.9502779828E+08 316.423272  60.120712
 2014-Nov-26 00:00     1.9531286600E+08 317.401464  59.741494
 2014-Nov-27 00:00     1.9559483216E+08 318.354783  59.356296
 2014-Nov-28 00:00     1.9587367301E+08 319.283903  58.965425
 2014-Nov-29 00:00     1.9614936529E+08 320.189497  58.569174
 2014-Nov-30 00:00     1.9642188625E+08 321.072241  58.167823
 2014-Dec-01 00:00     1.9669121362E+08 321.932809  57.761638
 2014-Dec-02 00:00     1.9695732562E+08 322.771866  57.350872
 2014-Dec-03 00:00     1.9722020093E+08 323.590073  56.935765
 2014-Dec-04 00:00     1.9747981870E+08 324.388079  56.516546
 2014-Dec-05 00:00     1.9773615857E+08 325.166522  56.093432
 2014-Dec-06 00:00     1.9798920057E+08 325.926029  55.666627
 2014-Dec-07 00:00     1.9823892524E+08 326.667212  55.236328
 2014-Dec-08 00:00     1.9848531351E+08 327.390667  54.802719
 2014-Dec-09 00:00     1.9872834675E+08 328.096979  54.365974
 2014-Dec-10 00:00     1.9896800677E+08 328.786713  53.926260
 2014-Dec-11 00:00     1.9920427578E+08 329.460422  53.483733
 2014-Dec-12 00:00     1.9943713640E+08 330.118640  53.038543
 2014-Dec-13 00:00     1.9966657165E+08 330.761887  52.590829
 2014-Dec-14 00:00     1.9989256497E+08 331.390665  52.140725
 2014-Dec-15 00:00     2.0011510017E+08 332.005462  51.688356
 2014-Dec-16 00:00     2.0033416143E+08 332.606749  51.233841
 2014-Dec-17 00:00     2.0054973334E+08 333.194982  50.777292
 2014-Dec-18 00:00     2.0076180085E+08 333.770600  50.318815
 2014-Dec-19 00:00     2.0097034926E+08 334.334030  49.858511
 2014-Dec-20 00:00     2.0117536426E+08 334.885682  49.396474
 2014-Dec-21 00:00     2.0137683188E+08 335.425952  48.932793
