*******************************************************************************
 2014-Jun-16 00:00     2.9467985819E+08   1.767322  11.029528
 2014-Jun-17 00:00     2.9484868333E+08   1.927350  10.782487
 2014-Jun-18 00:00     2.9501378727E+08   2.086934  10.535642
 2014-Jun-19 00:00     2.9517516995E+08   2.246089  10.288988
 2014-Jun-20 00:00     2.9533283128E+08   2.404824  10.042520
 2014-Jun-21 00:00     2.9548677121E+08   2.563152   9.796235
 2014-Jun-22 00:00     2.9563698969E+08   2.721083   9.550128
 2014-Jun-23 00:00     2.9578348668E+08   2.878629   9.304195
 2014-Jun-24 00:00     2.9592626213E+08   3.035801   9.058431
 2014-Jun-25 00:00     2.9606531603E+08   3.192610   8.812832
 2014-Jun-26 00:00     2.9620064835E+08   3.349067   8.567394
 2014-Jun-27 00:00     2.9633225907E+08   3.505182   8.322112
 2014-Jun-28 00:00     2.9646014819E+08   3.660967   8.076981
 2014-Jun-29 00:00     2.9658431570E+08   3.816431   7.831998
 2014-Jun-30 00:00     2.9670476161E+08   3.971586   7.587158
 2014-Jul-01 00:00     2.9682148593E+08   4.126442   7.342457
 2014-Jul-02 00:00     2.9693448865E+08   4.281008   7.097890
 2014-Jul-03 00:00     2.9704376981E+08   4.435296   6.853453
 2014-Jul-04 00:00     2.9714932942E+08   4.589315   6.609141
 2014-Jul-05 00:00     2.9725116751E+08   4.743076   6.364950
 2014-Jul-06 00:00     2.9734928409E+08   4.896589   6.120877
 2014-Jul-07 00:00     2.9744367920E+08   5.049863   5.876915
 2014-Jul-08 00:00     2.9753435288E+08   5.202908   5.633062
 2014-Jul-09 00:00     2.9762130514E+08   5.355735   5.389312
 2014-Jul-10 00:00     2.9770453605E+08   5.508353   5.145661
 2014-Jul-11 00:00     2.9778404562E+08   5.660772   4.902105
 2014-Jul-12 00:00     2.9785983390E+08   5.813001   4.658639
 2014-Jul-13 00:00     2.9793190093E+08   5.965051   4.415260
 2014-Jul-14 00:00     2.9800024676E+08   6.116930   4.171962
 2014-Jul-15 00:00     2.9806487142E+08   6.268649   3.928742
 2014-Jul-16 00:00     2.9812577497E+08   6.420216   3.685594
 2014-Jul-17 00:00     2.9818295744E+08   6.571641   3.442515
 2014-Jul-18 00:00     2.9823641889E+08   6.722934   3.199500
 2014-Jul-19 00:00     2.9828615935E+08   6.874104   2.956545
 2014-Jul-20 00:00     2.9833217887E+08   7.025160   2.713646
 2014-Jul-21 00:00     2.9837447750E+08   7.176111   2.470797
 2014-Jul-22 00:00     2.9841305528E+08   7.326968   2.227995
 2014-Jul-23 00:00     2.9844791226E+08   7.477739   1.985235
 2014-Jul-24 00:00     2.9847904849E+08   7.628433   1.742514
 2014-Jul-25 00:00     2.9850646401E+08   7.779059   1.499825
 2014-Jul-26 00:00     2.9853015885E+08   7.929628   1.257166
 2014-Jul-27 00:00     2.9855013307E+08   8.080147   1.014532
 2014-Jul-28 00:00     2.9856638671E+08   8.230627   0.771918
 2014-Jul-29 00:00     2.9857891982E+08   8.381075   0.529321
 2014-Jul-30 00:00     2.9858773242E+08   8.531502   0.286734
 2014-Jul-31 00:00     2.9859282456E+08   8.681917   0.044156
 2014-Aug-01 00:00     2.9859419629E+08   8.832329  -0.198420
 2014-Aug-02 00:00     2.9859184764E+08   8.982746  -0.440997
 2014-Aug-03 00:00     2.9858577864E+08   9.133178  -0.683581
 2014-Aug-04 00:00     2.9857598934E+08   9.283635  -0.926174
 2014-Aug-05 00:00     2.9856247978E+08   9.434124  -1.168782
 2014-Aug-06 00:00     2.9854524998E+08   9.584656  -1.411408
 2014-Aug-07 00:00     2.9852429999E+08   9.735240  -1.654058
 2014-Aug-08 00:00     2.9849962984E+08   9.885885  -1.896736
 2014-Aug-09 00:00     2.9847123955E+08  10.036599  -2.139446
 2014-Aug-10 00:00     2.9843912918E+08  10.187393  -2.382192
 2014-Aug-11 00:00     2.9840329874E+08  10.338275  -2.624979
 2014-Aug-12 00:00     2.9836374827E+08  10.489255  -2.867810
 2014-Aug-13 00:00     2.9832047781E+08  10.640342  -3.110692
 2014-Aug-14 00:00     2.9827348739E+08  10.791545  -3.353627
 2014-Aug-15 00:00     2.9822277703E+08  10.942874  -3.596621
 2014-Aug-16 00:00     2.9816834677E+08  11.094338  -3.839677
 2014-Aug-17 00:00     2.9811019665E+08  11.245946  -4.082800
 2014-Aug-18 00:00     2.9804832670E+08  11.397708  -4.325995
 2014-Aug-19 00:00     2.9798273695E+08  11.549634  -4.569265
 2014-Aug-20 00:00     2.9791342743E+08  11.701732  -4.812615
 2014-Aug-21 00:00     2.9784039818E+08  11.854013  -5.056050
 2014-Aug-22 00:00     2.9776364925E+08  12.006487  -5.299574
 2014-Aug-23 00:00     2.9768318066E+08  12.159162  -5.543191
 2014-Aug-24 00:00     2.9759899245E+08  12.312048  -5.786905
 2014-Aug-25 00:00     2.9751108468E+08  12.465156  -6.030721
 2014-Aug-26 00:00     2.9741945737E+08  12.618495  -6.274644
 2014-Aug-27 00:00     2.9732411059E+08  12.772075  -6.518677
 2014-Aug-28 00:00     2.9722504437E+08  12.925906  -6.762826
 2014-Aug-29 00:00     2.9712225878E+08  13.079999  -7.007094
 2014-Aug-30 00:00     2.9701575385E+08  13.234362  -7.251485
 2014-Aug-31 00:00     2.9690552966E+08  13.389007  -7.496005
 2014-Sep-01 00:00     2.9679158627E+08  13.543944  -7.740657
 2014-Sep-02 00:00     2.9667392374E+08  13.699183  -7.985447
 2014-Sep-03 00:00     2.9655254214E+08  13.854734  -8.230377
 2014-Sep-04 00:00     2.9642744155E+08  14.010608  -8.475453
 2014-Sep-05 00:00     2.9629862205E+08  14.166816  -8.720680
 2014-Sep-06 00:00     2.9616608372E+08  14.323368  -8.966060
 2014-Sep-07 00:00     2.9602982667E+08  14.480275  -9.211599
 2014-Sep-08 00:00     2.9588985098E+08  14.637548  -9.457302
 2014-Sep-09 00:00     2.9574615677E+08  14.795198  -9.703172
 2014-Sep-10 00:00     2.9559874415E+08  14.953236  -9.949213
 2014-Sep-11 00:00     2.9544761324E+08  15.111673 -10.195431
 2014-Sep-12 00:00     2.9529276417E+08  15.270521 -10.441829
 2014-Sep-13 00:00     2.9513419708E+08  15.429791 -10.688413
 2014-Sep-14 00:00     2.9497191211E+08  15.589494 -10.935185
 2014-Sep-15 00:00     2.9480590942E+08  15.749643 -11.182151
 2014-Sep-16 00:00     2.9463618918E+08  15.910248 -11.429315
 2014-Sep-17 00:00     2.9446275157E+08  16.071322 -11.676681
 2014-Sep-18 00:00     2.9428559677E+08  16.232878 -11.924254
 2014-Sep-19 00:00     2.9410472500E+08  16.394926 -12.172038
 2014-Sep-20 00:00     2.9392013645E+08  16.557481 -12.420036
 2014-Sep-21 00:00     2.9373183136E+08  16.720553 -12.668255
 2014-Sep-22 00:00     2.9353980997E+08  16.884156 -12.916697
 2014-Sep-23 00:00     2.9334407254E+08  17.048302 -13.165368
 2014-Sep-24 00:00     2.9314461932E+08  17.213005 -13.414271
 2014-Sep-25 00:00     2.9294145062E+08  17.378277 -13.663410
 2014-Sep-26 00:00     2.9273456673E+08  17.544133 -13.912791
 2014-Sep-27 00:00     2.9252396797E+08  17.710585 -14.162417
 2014-Sep-28 00:00     2.9230965468E+08  17.877647 -14.412293
 2014-Sep-29 00:00     2.9209162721E+08  18.045332 -14.662422
 2014-Sep-30 00:00     2.9186988595E+08  18.213656 -14.912810
 2014-Oct-01 00:00     2.9164443127E+08  18.382632 -15.163460
 2014-Oct-02 00:00     2.9141526361E+08  18.552274 -15.414377
 2014-Oct-03 00:00     2.9118238340E+08  18.722598 -15.665564
 2014-Oct-04 00:00     2.9094579109E+08  18.893617 -15.917027
 2014-Oct-05 00:00     2.9070548719E+08  19.065348 -16.168768
 2014-Oct-06 00:00     2.9046147218E+08  19.237805 -16.420793
 2014-Oct-07 00:00     2.9021374661E+08  19.411005 -16.673106
 2014-Oct-08 00:00     2.8996231104E+08  19.584961 -16.925710
 2014-Oct-09 00:00     2.8970716606E+08  19.759692 -17.178610
 2014-Oct-10 00:00     2.8944831228E+08  19.935212 -17.431810
 2014-Oct-11 00:00     2.8918575035E+08  20.111539 -17.685313
 2014-Oct-12 00:00     2.8891948094E+08  20.288689 -17.939125
 2014-Oct-13 00:00     2.8864950476E+08  20.466679 -18.193249
 2014-Oct-14 00:00     2.8837582256E+08  20.645527 -18.447689
 2014-Oct-15 00:00     2.8809843510E+08  20.825250 -18.702449
 2014-Oct-16 00:00     2.8781734320E+08  21.005866 -18.957534
 2014-Oct-17 00:00     2.8753254770E+08  21.187393 -19.212946
 2014-Oct-18 00:00     2.8724404948E+08  21.369850 -19.468690
 2014-Oct-19 00:00     2.8695184946E+08  21.553256 -19.724770
 2014-Oct-20 00:00     2.8665594860E+08  21.737629 -19.981190
 2014-Oct-21 00:00     2.8635634791E+08  21.922989 -20.237953
 2014-Oct-22 00:00     2.8605304843E+08  22.109356 -20.495063
 2014-Oct-23 00:00     2.8574605124E+08  22.296751 -20.752524
 2014-Oct-24 00:00     2.8543535748E+08  22.485193 -21.010340
 2014-Oct-25 00:00     2.8512096833E+08  22.674703 -21.268515
 2014-Oct-26 00:00     2.8480288502E+08  22.865304 -21.527051
 2014-Oct-27 00:00     2.8448110882E+08  23.057016 -21.785953
 2014-Oct-28 00:00     2.8415564106E+08  23.249861 -22.045224
 2014-Oct-29 00:00     2.8382648313E+08  23.443863 -22.304867
 2014-Oct-30 00:00     2.8349363645E+08  23.639043 -22.564887
 2014-Oct-31 00:00     2.8315710253E+08  23.835426 -22.825286
 2014-Nov-01 00:00     2.8281688291E+08  24.033035 -23.086067
 2014-Nov-02 00:00     2.8247297920E+08  24.231895 -23.347235
 2014-Nov-03 00:00     2.8212539307E+08  24.432029 -23.608791
 2014-Nov-04 00:00     2.8177412626E+08  24.633464 -23.870740
 2014-Nov-05 00:00     2.8141918056E+08  24.836225 -24.133083
 2014-Nov-06 00:00     2.8106055784E+08  25.040338 -24.395825
 2014-Nov-07 00:00     2.8069826004E+08  25.245830 -24.658969
 2014-Nov-08 00:00     2.8033228916E+08  25.452728 -24.922515
 2014-Nov-09 00:00     2.7996264727E+08  25.661060 -25.186469
 2014-Nov-10 00:00     2.7958933655E+08  25.870855 -25.450832
 2014-Nov-11 00:00     2.7921235920E+08  26.082142 -25.715606
 2014-Nov-12 00:00     2.7883171756E+08  26.294950 -25.980795
 2014-Nov-13 00:00     2.7844741400E+08  26.509309 -26.246400
 2014-Nov-14 00:00     2.7805945100E+08  26.725250 -26.512424
 2014-Nov-15 00:00     2.7766783114E+08  26.942805 -26.778869
 2014-Nov-16 00:00     2.7727255706E+08  27.162006 -27.045737
 2014-Nov-17 00:00     2.7687363150E+08  27.382885 -27.313030
 2014-Nov-18 00:00     2.7647105730E+08  27.605477 -27.580749
 2014-Nov-19 00:00     2.7606483740E+08  27.829816 -27.848896
 2014-Nov-20 00:00     2.7565497483E+08  28.055936 -28.117473
 2014-Nov-21 00:00     2.7524147273E+08  28.283874 -28.386481
 2014-Nov-22 00:00     2.7482433434E+08  28.513666 -28.655921
 2014-Nov-23 00:00     2.7440356300E+08  28.745350 -28.925794
 2014-Nov-24 00:00     2.7397916218E+08  28.978964 -29.196101
 2014-Nov-25 00:00     2.7355113544E+08  29.214547 -29.466843
 2014-Nov-26 00:00     2.7311948648E+08  29.452139 -29.738019
 2014-Nov-27 00:00     2.7268421912E+08  29.691780 -30.009632
