*******************************************************************************
 2014-Aug-06 00:00     1.0042709257E+08  25.305597 -32.980605
 2014-Aug-07 00:00     1.0127309227E+08  27.007758 -34.374488
 2014-Aug-08 00:00     1.0214159435E+08  28.737026 -35.721188
 2014-Aug-09 00:00     1.0303122274E+08  30.494192 -37.019895
 2014-Aug-10 00:00     1.0394062946E+08  32.279896 -38.269873
 2014-Aug-11 00:00     1.0486849792E+08  34.094642 -39.470449
 2014-Aug-12 00:00     1.0581354558E+08  35.938846 -40.621001
 2014-Aug-13 00:00     1.0677452618E+08  37.812982 -41.721002
 2014-Aug-14 00:00     1.0775023140E+08  39.717813 -42.770310
 2014-Aug-15 00:00     1.0873949221E+08  41.653852 -43.769986
 2014-Aug-16 00:00     1.0974117975E+08  43.618283 -44.721850
 2014-Aug-17 00:00     1.1075420589E+08  45.605976 -45.624532
 2014-Aug-18 00:00     1.1177752350E+08  47.616176 -46.475393
 2014-Aug-19 00:00     1.1281012640E+08  49.649499 -47.274183
 2014-Aug-20 00:00     1.1385104914E+08  51.704983 -48.021600
 2014-Aug-21 00:00     1.1489936654E+08  53.780631 -48.718308
 2014-Aug-22 00:00     1.1595419306E+08  55.873976 -49.364886
 2014-Aug-23 00:00     1.1701468201E+08  57.982262 -49.961915
 2014-Aug-24 00:00     1.1808002471E+08  60.102510 -50.510030
 2014-Aug-25 00:00     1.1914944948E+08  62.231550 -51.009946
 2014-Aug-26 00:00     1.2022222059E+08  64.366051 -51.462469
 2014-Aug-27 00:00     1.2129763712E+08  66.502562 -51.868499
 2014-Aug-28 00:00     1.2237503184E+08  68.637545 -52.229031
 2014-Aug-29 00:00     1.2345377002E+08  70.767422 -52.545154
 2014-Aug-30 00:00     1.2453324818E+08  72.888621 -52.818042
 2014-Aug-31 00:00     1.2561289296E+08  74.997618 -53.048950
 2014-Sep-01 00:00     1.2669215986E+08  77.090981 -53.239207
 2014-Sep-02 00:00     1.2777053204E+08  79.165413 -53.390205
 2014-Sep-03 00:00     1.2884751921E+08  81.217785 -53.503391
 2014-Sep-04 00:00     1.2992265638E+08  83.245171 -53.580257
 2014-Sep-05 00:00     1.3099550281E+08  85.244872 -53.622328
 2014-Sep-06 00:00     1.3206564087E+08  87.214439 -53.631150
 2014-Sep-07 00:00     1.3313267496E+08  89.151683 -53.608285
 2014-Sep-08 00:00     1.3419623050E+08  91.054689 -53.555293
 2014-Sep-09 00:00     1.3525595294E+08  92.921814 -53.473729
 2014-Sep-10 00:00     1.3631150675E+08  94.751689 -53.365132
 2014-Sep-11 00:00     1.3736257451E+08  96.543207 -53.231014
 2014-Sep-12 00:00     1.3840885604E+08  98.295517 -53.072858
 2014-Sep-13 00:00     1.3945006752E+08 100.008009 -52.892108
 2014-Sep-14 00:00     1.4048594067E+08 101.680295 -52.690164
 2014-Sep-15 00:00     1.4151622197E+08 103.312198 -52.468381
 2014-Sep-16 00:00     1.4254067192E+08 104.903726 -52.228060
 2014-Sep-17 00:00     1.4355906430E+08 106.455058 -51.970453
 2014-Sep-18 00:00     1.4457118553E+08 107.966523 -51.696753
 2014-Sep-19 00:00     1.4557683396E+08 109.438581 -51.408099
 2014-Sep-20 00:00     1.4657581930E+08 110.871808 -51.105574
 2014-Sep-21 00:00     1.4756796201E+08 112.266874 -50.790205
