*******************************************************************************
 2014-Oct-29 00:00     5.2282496603E+08  18.034681 -30.513668
 2014-Oct-30 00:00     5.2335689364E+08  18.078280 -30.599286
 2014-Oct-31 00:00     5.2388658948E+08  18.121868 -30.684715
 2014-Nov-01 00:00     5.2441405666E+08  18.165444 -30.769957
 2014-Nov-02 00:00     5.2493929827E+08  18.209011 -30.855015
 2014-Nov-03 00:00     5.2546231741E+08  18.252567 -30.939888
 2014-Nov-04 00:00     5.2598311711E+08  18.296115 -31.024578
 2014-Nov-05 00:00     5.2650170044E+08  18.339654 -31.109087
 2014-Nov-06 00:00     5.2701807040E+08  18.383185 -31.193415
 2014-Nov-07 00:00     5.2753223001E+08  18.426708 -31.277564
 2014-Nov-08 00:00     5.2804418226E+08  18.470224 -31.361535
 2014-Nov-09 00:00     5.2855393011E+08  18.513734 -31.445329
 2014-Nov-10 00:00     5.2906147652E+08  18.557238 -31.528947
 2014-Nov-11 00:00     5.2956682442E+08  18.600737 -31.612391
 2014-Nov-12 00:00     5.3006997674E+08  18.644231 -31.695662
 2014-Nov-13 00:00     5.3057093637E+08  18.687721 -31.778760
 2014-Nov-14 00:00     5.3106970619E+08  18.731207 -31.861687
 2014-Nov-15 00:00     5.3156628908E+08  18.774689 -31.944445
 2014-Nov-16 00:00     5.3206068788E+08  18.818169 -32.027033
 2014-Nov-17 00:00     5.3255290542E+08  18.861647 -32.109454
 2014-Nov-18 00:00     5.3304294452E+08  18.905123 -32.191708
 2014-Nov-19 00:00     5.3353080797E+08  18.948598 -32.273797
 2014-Nov-20 00:00     5.3401649857E+08  18.992072 -32.355721
 2014-Nov-21 00:00     5.3450001907E+08  19.035546 -32.437482
 2014-Nov-22 00:00     5.3498137222E+08  19.079021 -32.519081
 2014-Nov-23 00:00     5.3546056075E+08  19.122496 -32.600519
 2014-Nov-24 00:00     5.3593758738E+08  19.165973 -32.681796
 2014-Nov-25 00:00     5.3641245481E+08  19.209452 -32.762915
 2014-Nov-26 00:00     5.3688516572E+08  19.252933 -32.843875
 2014-Nov-27 00:00     5.3735572277E+08  19.296418 -32.924678
 2014-Nov-28 00:00     5.3782412862E+08  19.339905 -33.005325
 2014-Nov-29 00:00     5.3829038590E+08  19.383397 -33.085818
 2014-Nov-30 00:00     5.3875449723E+08  19.426893 -33.166156
 2014-Dec-01 00:00     5.3921646521E+08  19.470395 -33.246342
 2014-Dec-02 00:00     5.3967629242E+08  19.513901 -33.326375
 2014-Dec-03 00:00     5.4013398144E+08  19.557414 -33.406257
 2014-Dec-04 00:00     5.4058953482E+08  19.600933 -33.485990
 2014-Dec-05 00:00     5.4104295510E+08  19.644459 -33.565573
 2014-Dec-06 00:00     5.4149424481E+08  19.687993 -33.645009
 2014-Dec-07 00:00     5.4194340644E+08  19.731534 -33.724297
 2014-Dec-08 00:00     5.4239044250E+08  19.775085 -33.803439
 2014-Dec-09 00:00     5.4283535546E+08  19.818644 -33.882436
 2014-Dec-10 00:00     5.4327814778E+08  19.862212 -33.961289
 2014-Dec-11 00:00     5.4371882191E+08  19.905791 -34.039998
 2014-Dec-12 00:00     5.4415738028E+08  19.949379 -34.118565
 2014-Dec-13 00:00     5.4459382530E+08  19.992979 -34.196990
 2014-Dec-14 00:00     5.4502815938E+08  20.036591 -34.275275
 2014-Dec-15 00:00     5.4546038491E+08  20.080214 -34.353420
