*******************************************************************************
 2014-Jul-30 00:00     3.3238638555E+08 325.855933  40.545245
 2014-Jul-31 00:00     3.3109377553E+08 326.038311  40.431157
 2014-Aug-01 00:00     3.2979541189E+08 326.221499  40.315882
 2014-Aug-02 00:00     3.2849126234E+08 326.405507  40.199401
 2014-Aug-03 00:00     3.2718129419E+08 326.590346  40.081694
 2014-Aug-04 00:00     3.2586547438E+08 326.776031  39.962741
 2014-Aug-05 00:00     3.2454376945E+08 326.962572  39.842522
 2014-Aug-06 00:00     3.2321614559E+08 327.149983  39.721014
 2014-Aug-07 00:00     3.2188256855E+08 327.338277  39.598197
 2014-Aug-08 00:00     3.2054300372E+08 327.527466  39.474047
 2014-Aug-09 00:00     3.1919741605E+08 327.717566  39.348542
 2014-Aug-10 00:00     3.1784577011E+08 327.908590  39.221658
 2014-Aug-11 00:00     3.1648803004E+08 328.100551  39.093372
 2014-Aug-12 00:00     3.1512415957E+08 328.293465  38.963659
 2014-Aug-13 00:00     3.1375412198E+08 328.487346  38.832494
 2014-Aug-14 00:00     3.1237788015E+08 328.682211  38.699850
 2014-Aug-15 00:00     3.1099539650E+08 328.878073  38.565702
 2014-Aug-16 00:00     3.0960663302E+08 329.074951  38.430021
 2014-Aug-17 00:00     3.0821155125E+08 329.272858  38.292781
 2014-Aug-18 00:00     3.0681011226E+08 329.471814  38.153953
 2014-Aug-19 00:00     3.0540227670E+08 329.671834  38.013506
 2014-Aug-20 00:00     3.0398800472E+08 329.872936  37.871412
 2014-Aug-21 00:00     3.0256725601E+08 330.075138  37.727639
 2014-Aug-22 00:00     3.0113998979E+08 330.278460  37.582156
 2014-Aug-23 00:00     2.9970616480E+08 330.482918  37.434929
 2014-Aug-24 00:00     2.9826573930E+08 330.688534  37.285926
 2014-Aug-25 00:00     2.9681867104E+08 330.895327  37.135112
 2014-Aug-26 00:00     2.9536491729E+08 331.103317  36.982452
 2014-Aug-27 00:00     2.9390443482E+08 331.312525  36.827909
 2014-Aug-28 00:00     2.9243717989E+08 331.522973  36.671446
 2014-Aug-29 00:00     2.9096310824E+08 331.734682  36.513025
 2014-Aug-30 00:00     2.8948217511E+08 331.947676  36.352606
 2014-Aug-31 00:00     2.8799433522E+08 332.161976  36.190149
 2014-Sep-01 00:00     2.8649954276E+08 332.377609  36.025612
 2014-Sep-02 00:00     2.8499775139E+08 332.594596  35.858952
 2014-Sep-03 00:00     2.8348891423E+08 332.812965  35.690125
 2014-Sep-04 00:00     2.8197298390E+08 333.032740  35.519086
 2014-Sep-05 00:00     2.8044991244E+08 333.253949  35.345786
 2014-Sep-06 00:00     2.7891965137E+08 333.476618  35.170180
 2014-Sep-07 00:00     2.7738215167E+08 333.700775  34.992215
 2014-Sep-08 00:00     2.7583736376E+08 333.926450  34.811843
 2014-Sep-09 00:00     2.7428523752E+08 334.153672  34.629008
 2014-Sep-10 00:00     2.7272572228E+08 334.382472  34.443659
 2014-Sep-11 00:00     2.7115876681E+08 334.612881  34.255737
 2014-Sep-12 00:00     2.6958431936E+08 334.844932  34.065186
 2014-Sep-13 00:00     2.6800232759E+08 335.078658  33.871945
 2014-Sep-14 00:00     2.6641273866E+08 335.314094  33.675953
 2014-Sep-15 00:00     2.6481549913E+08 335.551274  33.477147
 2014-Sep-16 00:00     2.6321055507E+08 335.790237  33.275461
 2014-Sep-17 00:00     2.6159785197E+08 336.031018  33.070827
 2014-Sep-18 00:00     2.5997733482E+08 336.273658  32.863176
 2014-Sep-19 00:00     2.5834894806E+08 336.518197  32.652434
 2014-Sep-20 00:00     2.5671263561E+08 336.764675  32.438527
 2014-Sep-21 00:00     2.5506834090E+08 337.013137  32.221377
 2014-Sep-22 00:00     2.5341600684E+08 337.263626  32.000906
 2014-Sep-23 00:00     2.5175557587E+08 337.516187  31.777030
 2014-Sep-24 00:00     2.5008698993E+08 337.770870  31.549663
 2014-Sep-25 00:00     2.4841019052E+08 338.027721  31.318717
 2014-Sep-26 00:00     2.4672511869E+08 338.286792  31.084100
