*******************************************************************************
 2014-Dec-08 00:00     1.8504307497E+08  17.644951  -6.904721
 2014-Dec-09 00:00     1.8453052478E+08  17.905009  -7.500337
 2014-Dec-10 00:00     1.8401262307E+08  18.167249  -8.099150
 2014-Dec-11 00:00     1.8348940708E+08  18.431773  -8.701208
 2014-Dec-12 00:00     1.8296091529E+08  18.698685  -9.306559
 2014-Dec-13 00:00     1.8242718755E+08  18.968092  -9.915250
 2014-Dec-14 00:00     1.8188826504E+08  19.240108 -10.527331
 2014-Dec-15 00:00     1.8134419036E+08  19.514848 -11.142849
 2014-Dec-16 00:00     1.8079500757E+08  19.792433 -11.761853
 2014-Dec-17 00:00     1.8024076225E+08  20.072989 -12.384392
 2014-Dec-18 00:00     1.7968150150E+08  20.356646 -13.010514
 2014-Dec-19 00:00     1.7911727405E+08  20.643541 -13.640269
 2014-Dec-20 00:00     1.7854813029E+08  20.933813 -14.273705
 2014-Dec-21 00:00     1.7797412229E+08  21.227612 -14.910870
 2014-Dec-22 00:00     1.7739530391E+08  21.525091 -15.551812
 2014-Dec-23 00:00     1.7681173082E+08  21.826411 -16.196581
 2014-Dec-24 00:00     1.7622346057E+08  22.131739 -16.845224
