*******************************************************************************
 2014-May-09 00:00     4.5888139166E+08 185.597629  11.907313
 2014-May-10 00:00     4.5861593060E+08 185.648035  12.023950
 2014-May-11 00:00     4.5834801416E+08 185.698544  12.140714
 2014-May-12 00:00     4.5807764079E+08 185.749156  12.257606
 2014-May-13 00:00     4.5780480894E+08 185.799874  12.374628
 2014-May-14 00:00     4.5752951703E+08 185.850698  12.491780
 2014-May-15 00:00     4.5725176345E+08 185.901631  12.609065
 2014-May-16 00:00     4.5697154661E+08 185.952672  12.726484
 2014-May-17 00:00     4.5668886489E+08 186.003824  12.844037
 2014-May-18 00:00     4.5640371664E+08 186.055088  12.961727
 2014-May-19 00:00     4.5611610022E+08 186.106466  13.079555
 2014-May-20 00:00     4.5582601396E+08 186.157957  13.197522
 2014-May-21 00:00     4.5553345617E+08 186.209565  13.315630
 2014-May-22 00:00     4.5523842516E+08 186.261290  13.433880
 2014-May-23 00:00     4.5494091923E+08 186.313134  13.552274
 2014-May-24 00:00     4.5464093663E+08 186.365098  13.670812
 2014-May-25 00:00     4.5433847563E+08 186.417184  13.789497
 2014-May-26 00:00     4.5403353447E+08 186.469392  13.908330
 2014-May-27 00:00     4.5372611139E+08 186.521725  14.027312
 2014-May-28 00:00     4.5341620459E+08 186.574184  14.146445
 2014-May-29 00:00     4.5310381226E+08 186.626771  14.265730
 2014-May-30 00:00     4.5278893261E+08 186.679486  14.385169
 2014-May-31 00:00     4.5247156378E+08 186.732332  14.504763
 2014-Jun-01 00:00     4.5215170394E+08 186.785310  14.624514
 2014-Jun-02 00:00     4.5182935122E+08 186.838421  14.744424
 2014-Jun-03 00:00     4.5150450375E+08 186.891668  14.864493
 2014-Jun-04 00:00     4.5117715962E+08 186.945050  14.984723
 2014-Jun-05 00:00     4.5084731694E+08 186.998572  15.105117
 2014-Jun-06 00:00     4.5051497377E+08 187.052232  15.225675
 2014-Jun-07 00:00     4.5018012819E+08 187.106035  15.346398
 2014-Jun-08 00:00     4.4984277823E+08 187.159980  15.467290
 2014-Jun-09 00:00     4.4950292193E+08 187.214070  15.588350
 2014-Jun-10 00:00     4.4916055730E+08 187.268307  15.709581
 2014-Jun-11 00:00     4.4881568235E+08 187.322691  15.830985
 2014-Jun-12 00:00     4.4846829505E+08 187.377225  15.952562
 2014-Jun-13 00:00     4.4811839338E+08 187.431911  16.074315
 2014-Jun-14 00:00     4.4776597530E+08 187.486750  16.196244
 2014-Jun-15 00:00     4.4741103873E+08 187.541743  16.318353
 2014-Jun-16 00:00     4.4705358161E+08 187.596894  16.440642
 2014-Jun-17 00:00     4.4669360185E+08 187.652203  16.563113
 2014-Jun-18 00:00     4.4633109733E+08 187.707672  16.685767
 2014-Jun-19 00:00     4.4596606594E+08 187.763303  16.808607
 2014-Jun-20 00:00     4.4559850553E+08 187.819098  16.931634
 2014-Jun-21 00:00     4.4522841396E+08 187.875059  17.054849
 2014-Jun-22 00:00     4.4485578906E+08 187.931188  17.178255
 2014-Jun-23 00:00     4.4448062863E+08 187.987487  17.301853
 2014-Jun-24 00:00     4.4410293049E+08 188.043957  17.425645
 2014-Jun-25 00:00     4.4372269242E+08 188.100600  17.549632
 2014-Jun-26 00:00     4.4333991220E+08 188.157420  17.673817
 2014-Jun-27 00:00     4.4295458756E+08 188.214416  17.798200
 2014-Jun-28 00:00     4.4256671626E+08 188.271592  17.922784
 2014-Jun-29 00:00     4.4217629602E+08 188.328950  18.047571
 2014-Jun-30 00:00     4.4178332454E+08 188.386491  18.172562
 2014-Jul-01 00:00     4.4138779952E+08 188.444218  18.297759
 2014-Jul-02 00:00     4.4098971865E+08 188.502132  18.423164
 2014-Jul-03 00:00     4.4058907957E+08 188.560237  18.548779
 2014-Jul-04 00:00     4.4018587994E+08 188.618534  18.674606
 2014-Jul-05 00:00     4.3978011739E+08 188.677025  18.800645
 2014-Jul-06 00:00     4.3937178954E+08 188.735712  18.926900
 2014-Jul-07 00:00     4.3896089399E+08 188.794599  19.053373
 2014-Jul-08 00:00     4.3854742831E+08 188.853686  19.180064
 2014-Jul-09 00:00     4.3813139010E+08 188.912976  19.306975
