*******************************************************************************
 2014-Oct-10 00:00     1.2798418149E+08 268.674458  61.654924
 2014-Oct-11 00:00     1.2876890633E+08 271.640231  61.712018
 2014-Oct-12 00:00     1.2957103597E+08 274.574522  61.705368
 2014-Oct-13 00:00     1.3038988464E+08 277.465378  61.637344
 2014-Oct-14 00:00     1.3122477415E+08 280.301949  61.510678
 2014-Oct-15 00:00     1.3207503500E+08 283.074705  61.328402
 2014-Oct-16 00:00     1.3294000734E+08 285.775571  61.093767
 2014-Oct-17 00:00     1.3381904190E+08 288.397996  60.810180
 2014-Oct-18 00:00     1.3471150068E+08 290.936939  60.481130
 2014-Oct-19 00:00     1.3561675769E+08 293.388809  60.110131
 2014-Oct-20 00:00     1.3653419949E+08 295.751355  59.700662
 2014-Oct-21 00:00     1.3746322568E+08 298.023526  59.256122
 2014-Oct-22 00:00     1.3840324931E+08 300.205314  58.779796
 2014-Oct-23 00:00     1.3935369722E+08 302.297598  58.274825
 2014-Oct-24 00:00     1.4031401027E+08 304.301978  57.744188
 2014-Oct-25 00:00     1.4128364354E+08 306.220635  57.190684
 2014-Oct-26 00:00     1.4226206646E+08 308.056189  56.616932
 2014-Oct-27 00:00     1.4324876286E+08 309.811585  56.025364
 2014-Oct-28 00:00     1.4424323102E+08 311.489991  55.418229
 2014-Oct-29 00:00     1.4524498360E+08 313.094709  54.797596
 2014-Oct-30 00:00     1.4625354762E+08 314.629109  54.165366
 2014-Oct-31 00:00     1.4726846429E+08 316.096567  53.523273
 2014-Nov-01 00:00     1.4828928894E+08 317.500424  52.872900
 2014-Nov-02 00:00     1.4931559080E+08 318.843954  52.215686
 2014-Nov-03 00:00     1.5034695280E+08 320.130330  51.552936
 2014-Nov-04 00:00     1.5138297141E+08 321.362616  50.885832
 2014-Nov-05 00:00     1.5242325632E+08 322.543748  50.215441
 2014-Nov-06 00:00     1.5346743025E+08 323.676527  49.542727
 2014-Nov-07 00:00     1.5451512866E+08 324.763618  48.868557
 2014-Nov-08 00:00     1.5556599946E+08 325.807546  48.193710
 2014-Nov-09 00:00     1.5661970273E+08 326.810702  47.518887
 2014-Nov-10 00:00     1.5767591043E+08 327.775337  46.844715
 2014-Nov-11 00:00     1.5873430611E+08 328.703578  46.171754
 2014-Nov-12 00:00     1.5979458456E+08 329.597422  45.500507
 2014-Nov-13 00:00     1.6085645155E+08 330.458748  44.831420
 2014-Nov-14 00:00     1.6191962351E+08 331.289322  44.164889
 2014-Nov-15 00:00     1.6298382721E+08 332.090801  43.501266
 2014-Nov-16 00:00     1.6404879947E+08 332.864740  42.840864
 2014-Nov-17 00:00     1.6511428683E+08 333.612599  42.183958
 2014-Nov-18 00:00     1.6618004529E+08 334.335747  41.530787
 2014-Nov-19 00:00     1.6724583999E+08 335.035469  40.881564
 2014-Nov-20 00:00     1.6831144491E+08 335.712971  40.236474
 2014-Nov-21 00:00     1.6937664259E+08 336.369384  39.595674
 2014-Nov-22 00:00     1.7044122387E+08 337.005771  38.959302
 2014-Nov-23 00:00     1.7150498756E+08 337.623130  38.327476
 2014-Nov-24 00:00     1.7256774024E+08 338.222398  37.700293
 2014-Nov-25 00:00     1.7362929594E+08 338.804456  37.077837
 2014-Nov-26 00:00     1.7468947590E+08 339.370133  36.460173
 2014-Nov-27 00:00     1.7574810832E+08 339.920207  35.847357
 2014-Nov-28 00:00     1.7680502813E+08 340.455413  35.239430
 2014-Nov-29 00:00     1.7786007673E+08 340.976441  34.636423
 2014-Nov-30 00:00     1.7891310176E+08 341.483942  34.038357
 2014-Dec-01 00:00     1.7996395688E+08 341.978529  33.445245
 2014-Dec-02 00:00     1.8101250159E+08 342.460782  32.857090
 2014-Dec-03 00:00     1.8205860094E+08 342.931246  32.273891
 2014-Dec-04 00:00     1.8310212539E+08 343.390437  31.695637
 2014-Dec-05 00:00     1.8414295060E+08 343.838844  31.122314
 2014-Dec-06 00:00     1.8518095722E+08 344.276926  30.553902
 2014-Dec-07 00:00     1.8621603072E+08 344.705121  29.990376
 2014-Dec-08 00:00     1.8724806121E+08 345.123840  29.431707
 2014-Dec-09 00:00     1.8827694326E+08 345.533474  28.877864
 2014-Dec-10 00:00     1.8930257574E+08 345.934395  28.328810
 2014-Dec-11 00:00     1.9032486166E+08 346.326953  27.784507
 2014-Dec-12 00:00     1.9134370800E+08 346.711482  27.244915
 2014-Dec-13 00:00     1.9235902558E+08 347.088298  26.709990
 2014-Dec-14 00:00     1.9337072891E+08 347.457702  26.179687
 2014-Dec-15 00:00     1.9437873604E+08 347.819980  25.653960
 2014-Dec-16 00:00     1.9538296844E+08 348.175403  25.132761
 2014-Dec-17 00:00     1.9638335086E+08 348.524230  24.616040
 2014-Dec-18 00:00     1.9737981121E+08 348.866707  24.103747
 2014-Dec-19 00:00     1.9837228042E+08 349.203069  23.595831
 2014-Dec-20 00:00     1.9936069238E+08 349.533539  23.092240
