*******************************************************************************
 2014-Aug-28 00:00     1.7612050936E+08 148.553053 -44.151146
 2014-Aug-29 00:00     1.7606412769E+08 149.267047 -43.666352
 2014-Aug-30 00:00     1.7600254348E+08 149.969996 -43.176872
 2014-Aug-31 00:00     1.7593576215E+08 150.662198 -42.682813
 2014-Sep-01 00:00     1.7586378963E+08 151.343947 -42.184273
 2014-Sep-02 00:00     1.7578663235E+08 152.015531 -41.681349
 2014-Sep-03 00:00     1.7570429724E+08 152.677237 -41.174132
 2014-Sep-04 00:00     1.7561679174E+08 153.329343 -40.662707
 2014-Sep-05 00:00     1.7552412383E+08 153.972126 -40.147157
 2014-Sep-06 00:00     1.7542630199E+08 154.605857 -39.627558
 2014-Sep-07 00:00     1.7532333524E+08 155.230801 -39.103984
 2014-Sep-08 00:00     1.7521523313E+08 155.847219 -38.576505
 2014-Sep-09 00:00     1.7510200575E+08 156.455367 -38.045185
 2014-Sep-10 00:00     1.7498366374E+08 157.055498 -37.510087
 2014-Sep-11 00:00     1.7486021828E+08 157.647855 -36.971269
 2014-Sep-12 00:00     1.7473168113E+08 158.232681 -36.428785
 2014-Sep-13 00:00     1.7459806459E+08 158.810212 -35.882687
 2014-Sep-14 00:00     1.7445938156E+08 159.380680 -35.333023
 2014-Sep-15 00:00     1.7431564552E+08 159.944310 -34.779837
 2014-Sep-16 00:00     1.7416687052E+08 160.501326 -34.223173
 2014-Sep-17 00:00     1.7401307124E+08 161.051945 -33.663069
 2014-Sep-18 00:00     1.7385426294E+08 161.596379 -33.099562
 2014-Sep-19 00:00     1.7369046151E+08 162.134838 -32.532685
 2014-Sep-20 00:00     1.7352168348E+08 162.667526 -31.962470
 2014-Sep-21 00:00     1.7334794600E+08 163.194643 -31.388946
 2014-Sep-22 00:00     1.7316926687E+08 163.716385 -30.812139
 2014-Sep-23 00:00     1.7298566457E+08 164.232946 -30.232074
 2014-Sep-24 00:00     1.7279715822E+08 164.744513 -29.648772
 2014-Sep-25 00:00     1.7260376764E+08 165.251273 -29.062253
 2014-Sep-26 00:00     1.7240551335E+08 165.753406 -28.472536
 2014-Sep-27 00:00     1.7220241657E+08 166.251091 -27.879636
 2014-Sep-28 00:00     1.7199449922E+08 166.744502 -27.283567
 2014-Sep-29 00:00     1.7178178399E+08 167.233813 -26.684342
 2014-Sep-30 00:00     1.7156429429E+08 167.719191 -26.081972
 2014-Oct-01 00:00     1.7134205429E+08 168.200804 -25.476465
 2014-Oct-02 00:00     1.7111508894E+08 168.678815 -24.867828
 2014-Oct-03 00:00     1.7088342399E+08 169.153385 -24.256069
