*******************************************************************************
 2014-Oct-05 00:00     6.3162559347E+08  36.927697 -36.757598
 2014-Oct-06 00:00     6.3100345481E+08  36.976829 -36.808816
 2014-Oct-07 00:00     6.3037962739E+08  37.026125 -36.860115
 2014-Oct-08 00:00     6.2975410868E+08  37.075585 -36.911496
 2014-Oct-09 00:00     6.2912689610E+08  37.125210 -36.962958
 2014-Oct-10 00:00     6.2849798710E+08  37.175002 -37.014502
 2014-Oct-11 00:00     6.2786737907E+08  37.224962 -37.066128
 2014-Oct-12 00:00     6.2723506941E+08  37.275090 -37.117837
 2014-Oct-13 00:00     6.2660105553E+08  37.325389 -37.169629
 2014-Oct-14 00:00     6.2596533478E+08  37.375859 -37.221505
 2014-Oct-15 00:00     6.2532790454E+08  37.426501 -37.273465
 2014-Oct-16 00:00     6.2468876216E+08  37.477317 -37.325510
 2014-Oct-17 00:00     6.2404790497E+08  37.528308 -37.377639
 2014-Oct-18 00:00     6.2340533029E+08  37.579476 -37.429854
 2014-Oct-19 00:00     6.2276103544E+08  37.630820 -37.482154
 2014-Oct-20 00:00     6.2211501772E+08  37.682343 -37.534540
 2014-Oct-21 00:00     6.2146727442E+08  37.734047 -37.587013
 2014-Oct-22 00:00     6.2081780280E+08  37.785931 -37.639572
 2014-Oct-23 00:00     6.2016660013E+08  37.837998 -37.692219
 2014-Oct-24 00:00     6.1951366366E+08  37.890249 -37.744954
 2014-Oct-25 00:00     6.1885899061E+08  37.942685 -37.797777
 2014-Oct-26 00:00     6.1820257822E+08  37.995307 -37.850689
 2014-Oct-27 00:00     6.1754442367E+08  38.048118 -37.903689
 2014-Oct-28 00:00     6.1688452418E+08  38.101117 -37.956779
 2014-Oct-29 00:00     6.1622287692E+08  38.154308 -38.009959
 2014-Oct-30 00:00     6.1555947905E+08  38.207690 -38.063229
 2014-Oct-31 00:00     6.1489432772E+08  38.261266 -38.116590
 2014-Nov-01 00:00     6.1422742009E+08  38.315036 -38.170043
 2014-Nov-02 00:00     6.1355875326E+08  38.369003 -38.223586
 2014-Nov-03 00:00     6.1288832436E+08  38.423167 -38.277222
 2014-Nov-04 00:00     6.1221613048E+08  38.477531 -38.330951
 2014-Nov-05 00:00     6.1154216870E+08  38.532095 -38.384773
 2014-Nov-06 00:00     6.1086643609E+08  38.586861 -38.438688
 2014-Nov-07 00:00     6.1018892971E+08  38.641831 -38.492696
 2014-Nov-08 00:00     6.0950964660E+08  38.697006 -38.546800
 2014-Nov-09 00:00     6.0882858377E+08  38.752388 -38.600998
 2014-Nov-10 00:00     6.0814573825E+08  38.807978 -38.655291
 2014-Nov-11 00:00     6.0746110704E+08  38.863778 -38.709680
 2014-Nov-12 00:00     6.0677468710E+08  38.919789 -38.764165
 2014-Nov-13 00:00     6.0608647542E+08  38.976013 -38.818747
 2014-Nov-14 00:00     6.0539646894E+08  39.032451 -38.873426
 2014-Nov-15 00:00     6.0470466461E+08  39.089106 -38.928203
 2014-Nov-16 00:00     6.0401105933E+08  39.145978 -38.983078
 2014-Nov-17 00:00     6.0331565003E+08  39.203071 -39.038051
 2014-Nov-18 00:00     6.0261843360E+08  39.260384 -39.093123
