*******************************************************************************
 2014-May-05 00:00     2.4407904827E+08  77.591745 -58.423336
 2014-May-06 00:00     2.4474497104E+08  78.371880 -58.544349
 2014-May-07 00:00     2.4540773218E+08  79.153041 -58.659984
 2014-May-08 00:00     2.4606731272E+08  79.935044 -58.770273
 2014-May-09 00:00     2.4672369423E+08  80.717704 -58.875250
 2014-May-10 00:00     2.4737685877E+08  81.500833 -58.974949
 2014-May-11 00:00     2.4802678893E+08  82.284242 -59.069407
 2014-May-12 00:00     2.4867346778E+08  83.067741 -59.158660
 2014-May-13 00:00     2.4931687886E+08  83.851138 -59.242748
 2014-May-14 00:00     2.4995700619E+08  84.634241 -59.321709
 2014-May-15 00:00     2.5059383424E+08  85.416858 -59.395586
 2014-May-16 00:00     2.5122734791E+08  86.198797 -59.464421
 2014-May-17 00:00     2.5185753254E+08  86.979865 -59.528256
 2014-May-18 00:00     2.5248437390E+08  87.759872 -59.587138
 2014-May-19 00:00     2.5310785815E+08  88.538628 -59.641111
 2014-May-20 00:00     2.5372797186E+08  89.315944 -59.690223
 2014-May-21 00:00     2.5434470198E+08  90.091634 -59.734522
 2014-May-22 00:00     2.5495803585E+08  90.865512 -59.774057
 2014-May-23 00:00     2.5556796116E+08  91.637398 -59.808878
 2014-May-24 00:00     2.5617446598E+08  92.407110 -59.839037
 2014-May-25 00:00     2.5677753872E+08  93.174473 -59.864587
 2014-May-26 00:00     2.5737716813E+08  93.939313 -59.885579
 2014-May-27 00:00     2.5797334328E+08  94.701460 -59.902069
 2014-May-28 00:00     2.5856605359E+08  95.460748 -59.914111
 2014-May-29 00:00     2.5915528877E+08  96.217015 -59.921760
 2014-May-30 00:00     2.5974103886E+08  96.970104 -59.925074
 2014-May-31 00:00     2.6032329416E+08  97.719860 -59.924109
 2014-Jun-01 00:00     2.6090204531E+08  98.466135 -59.918922
 2014-Jun-02 00:00     2.6147728320E+08  99.208785 -59.909573
 2014-Jun-03 00:00     2.6204899900E+08  99.947670 -59.896119
 2014-Jun-04 00:00     2.6261718416E+08 100.682657 -59.878619
 2014-Jun-05 00:00     2.6318183038E+08 101.413617 -59.857134
 2014-Jun-06 00:00     2.6374292962E+08 102.140425 -59.831723
 2014-Jun-07 00:00     2.6430047410E+08 102.862963 -59.802446
 2014-Jun-08 00:00     2.6485445625E+08 103.581118 -59.769363
 2014-Jun-09 00:00     2.6540486877E+08 104.294783 -59.732535
 2014-Jun-10 00:00     2.6595170457E+08 105.003856 -59.692023
 2014-Jun-11 00:00     2.6649495679E+08 105.708240 -59.647886
 2014-Jun-12 00:00     2.6703461877E+08 106.407844 -59.600186
