*******************************************************************************
 2014-May-01 00:00     1.6781227617E+08 285.516136  65.884330
 2014-May-02 00:00     1.6774172794E+08 287.221914  65.699512
 2014-May-03 00:00     1.6766283253E+08 288.903814  65.495733
 2014-May-04 00:00     1.6757559505E+08 290.560190  65.273383
 2014-May-05 00:00     1.6748002112E+08 292.189593  65.032875
 2014-May-06 00:00     1.6737611692E+08 293.790778  64.774635
 2014-May-07 00:00     1.6726388920E+08 295.362694  64.499106
 2014-May-08 00:00     1.6714334526E+08 296.904480  64.206734
 2014-May-09 00:00     1.6701449298E+08 298.415462  63.897974
 2014-May-10 00:00     1.6687734084E+08 299.895135  63.573281
 2014-May-11 00:00     1.6673189792E+08 301.343162  63.233111
 2014-May-12 00:00     1.6657817391E+08 302.759354  62.877913
 2014-May-13 00:00     1.6641617914E+08 304.143661  62.508133
 2014-May-14 00:00     1.6624592459E+08 305.496160  62.124207
 2014-May-15 00:00     1.6606742189E+08 306.817041  61.726562
 2014-May-16 00:00     1.6588068338E+08 308.106595  61.315613
 2014-May-17 00:00     1.6568572207E+08 309.365201  60.891762
 2014-May-18 00:00     1.6548255172E+08 310.593316  60.455398
 2014-May-19 00:00     1.6527118681E+08 311.791462  60.006894
 2014-May-20 00:00     1.6505164261E+08 312.960218  59.546609
 2014-May-21 00:00     1.6482393516E+08 314.100211  59.074886
 2014-May-22 00:00     1.6458808131E+08 315.212104  58.592052
 2014-May-23 00:00     1.6434409876E+08 316.296591  58.098418
 2014-May-24 00:00     1.6409200608E+08 317.354388  57.594280
 2014-May-25 00:00     1.6383182273E+08 318.386230  57.079915
 2014-May-26 00:00     1.6356356908E+08 319.392863  56.555588
 2014-May-27 00:00     1.6328726647E+08 320.375036  56.021546
 2014-May-28 00:00     1.6300293723E+08 321.333505  55.478021
 2014-May-29 00:00     1.6271060471E+08 322.269021  54.925231
 2014-May-30 00:00     1.6241029331E+08 323.182332  54.363379
 2014-May-31 00:00     1.6210202853E+08 324.074176  53.792654
 2014-Jun-01 00:00     1.6178583701E+08 324.945285  53.213230
 2014-Jun-02 00:00     1.6146174654E+08 325.796375  52.625269
 2014-Jun-03 00:00     1.6112978616E+08 326.628153  52.028922
 2014-Jun-04 00:00     1.6078998614E+08 327.441307  51.424323
 2014-Jun-05 00:00     1.6044237808E+08 328.236515  50.811599
 2014-Jun-06 00:00     1.6008699491E+08 329.014434  50.190863
 2014-Jun-07 00:00     1.5972387098E+08 329.775707  49.562216
 2014-Jun-08 00:00     1.5935304207E+08 330.520960  48.925750
 2014-Jun-09 00:00     1.5897454551E+08 331.250800  48.281548
 2014-Jun-10 00:00     1.5858842015E+08 331.965820  47.629679
 2014-Jun-11 00:00     1.5819470649E+08 332.666593  46.970207
 2014-Jun-12 00:00     1.5779344669E+08 333.353676  46.303184
 2014-Jun-13 00:00     1.5738468467E+08 334.027610  45.628655
 2014-Jun-14 00:00     1.5696846616E+08 334.688919  44.946656
 2014-Jun-15 00:00     1.5654483876E+08 335.338112  44.257214
 2014-Jun-16 00:00     1.5611385202E+08 335.975681  43.560349
 2014-Jun-17 00:00     1.5567555750E+08 336.602103  42.856073
 2014-Jun-18 00:00     1.5523000889E+08 337.217843  42.144393
 2014-Jun-19 00:00     1.5477726201E+08 337.823348  41.425306
 2014-Jun-20 00:00     1.5431737498E+08 338.419055  40.698803
 2014-Jun-21 00:00     1.5385040822E+08 339.005386  39.964870
 2014-Jun-22 00:00     1.5337642460E+08 339.582750  39.223485
 2014-Jun-23 00:00     1.5289548952E+08 340.151546  38.474621
 2014-Jun-24 00:00     1.5240767097E+08 340.712161  37.718246
 2014-Jun-25 00:00     1.5191303967E+08 341.264971  36.954319
 2014-Jun-26 00:00     1.5141166913E+08 341.810341  36.182798
 2014-Jun-27 00:00     1.5090363581E+08 342.348628  35.403631
 2014-Jun-28 00:00     1.5038901917E+08 342.880178  34.616765
 2014-Jun-29 00:00     1.4986790181E+08 343.405330  33.822140
 2014-Jun-30 00:00     1.4934036959E+08 343.924415  33.019690
 2014-Jul-01 00:00     1.4880651174E+08 344.437755  32.209348
 2014-Jul-02 00:00     1.4826642098E+08 344.945667  31.391038
 2014-Jul-03 00:00     1.4772019366E+08 345.448460  30.564683
 2014-Jul-04 00:00     1.4716792988E+08 345.946438  29.730201
 2014-Jul-05 00:00     1.4660973364E+08 346.439900  28.887504
 2014-Jul-06 00:00     1.4604571296E+08 346.929139  28.036503
 2014-Jul-07 00:00     1.4547598005E+08 347.414444  27.177102
 2014-Jul-08 00:00     1.4490065143E+08 347.896101  26.309204
 2014-Jul-09 00:00     1.4431984810E+08 348.374393  25.432707
 2014-Jul-10 00:00     1.4373369571E+08 348.849600  24.547505
 2014-Jul-11 00:00     1.4314232468E+08 349.321998  23.653491
 2014-Jul-12 00:00     1.4254587041E+08 349.791865  22.750553
 2014-Jul-13 00:00     1.4194447343E+08 350.259474  21.838576
 2014-Jul-14 00:00     1.4133827958E+08 350.725101  20.917443
 2014-Jul-15 00:00     1.4072744016E+08 351.189021  19.987035
 2014-Jul-16 00:00     1.4011211217E+08 351.651508  19.047228
 2014-Jul-17 00:00     1.3949245844E+08 352.112839  18.097898
 2014-Jul-18 00:00     1.3886864785E+08 352.573293  17.138919
 2014-Jul-19 00:00     1.3824085551E+08 353.033151  16.170163
 2014-Jul-20 00:00     1.3760926298E+08 353.492699  15.191498
 2014-Jul-21 00:00     1.3697405843E+08 353.952224  14.202795
 2014-Jul-22 00:00     1.3633543688E+08 354.412020  13.203920
 2014-Jul-23 00:00     1.3569360037E+08 354.872387  12.194741
 2014-Jul-24 00:00     1.3504875820E+08 355.333629  11.175124
 2014-Jul-25 00:00     1.3440112710E+08 355.796061  10.144937
 2014-Jul-26 00:00     1.3375093147E+08 356.260002   9.104046
 2014-Jul-27 00:00     1.3309840358E+08 356.725783   8.052319
 2014-Jul-28 00:00     1.3244378376E+08 357.193747   6.989625
 2014-Jul-29 00:00     1.3178732062E+08 357.664244   5.915835
 2014-Jul-30 00:00     1.3112927125E+08 358.137640   4.830823
 2014-Jul-31 00:00     1.3046990140E+08 358.614316   3.734464
 2014-Aug-01 00:00     1.2980948573E+08 359.094666   2.626637
 2014-Aug-02 00:00     1.2914830792E+08 359.579102   1.507228
 2014-Aug-03 00:00     1.2848666092E+08   0.068057   0.376125
 2014-Aug-04 00:00     1.2782484710E+08   0.561982  -0.766779
 2014-Aug-05 00:00     1.2716317839E+08   1.061353  -1.921580
 2014-Aug-06 00:00     1.2650197646E+08   1.566670  -3.088371
 2014-Aug-07 00:00     1.2584157287E+08   2.078462  -4.267234
 2014-Aug-08 00:00     1.2518230914E+08   2.597286  -5.458241
 2014-Aug-09 00:00     1.2452453692E+08   3.123735  -6.661454
 2014-Aug-10 00:00     1.2386861803E+08   3.658437  -7.876921
 2014-Aug-11 00:00     1.2321492455E+08   4.202060  -9.104677
 2014-Aug-12 00:00     1.2256383884E+08   4.755318 -10.344741
 2014-Aug-13 00:00     1.2191575359E+08   5.318970 -11.597117
 2014-Aug-14 00:00     1.2127107173E+08   5.893833 -12.861786
 2014-Aug-15 00:00     1.2063020648E+08   6.480779 -14.138710
 2014-Aug-16 00:00     1.1999358118E+08   7.080749 -15.427827
 2014-Aug-17 00:00     1.1936162921E+08   7.694753 -16.729049
 2014-Aug-18 00:00     1.1873479382E+08   8.323880 -18.042258
 2014-Aug-19 00:00     1.1811352791E+08   8.969309 -19.367306
 2014-Aug-20 00:00     1.1749829378E+08   9.632316 -20.704009
 2014-Aug-21 00:00     1.1688956281E+08  10.314284 -22.052142
 2014-Aug-22 00:00     1.1628781514E+08  11.016715 -23.411441
 2014-Aug-23 00:00     1.1569353917E+08  11.741248 -24.781593
 2014-Aug-24 00:00     1.1510723117E+08  12.489666 -26.162230
 2014-Aug-25 00:00     1.1452939465E+08  13.263920 -27.552931
 2014-Aug-26 00:00     1.1396053983E+08  14.066146 -28.953206
 2014-Aug-27 00:00     1.1340118289E+08  14.898683 -30.362498
 2014-Aug-28 00:00     1.1285184527E+08  15.764104 -31.780168
 2014-Aug-29 00:00     1.1231305283E+08  16.665237 -33.205493
 2014-Aug-30 00:00     1.1178533497E+08  17.605201 -34.637649
 2014-Aug-31 00:00     1.1126922363E+08  18.587436 -36.075706
 2014-Sep-01 00:00     1.1076525228E+08  19.615744 -37.518611
 2014-Sep-02 00:00     1.1027395480E+08  20.694334 -38.965178
 2014-Sep-03 00:00     1.0979586428E+08  21.827865 -40.414066
 2014-Sep-04 00:00     1.0933151178E+08  23.021504 -41.863766
 2014-Sep-05 00:00     1.0888142496E+08  24.280978 -43.312580
 2014-Sep-06 00:00     1.0844612677E+08  25.612639 -44.758595
 2014-Sep-07 00:00     1.0802613394E+08  27.023533 -46.199670
 2014-Sep-08 00:00     1.0762195549E+08  28.521469 -47.633405
 2014-Sep-09 00:00     1.0723409122E+08  30.115123 -49.057135
 2014-Sep-10 00:00     1.0686303005E+08  31.814195 -50.467906
 2014-Sep-11 00:00     1.0650924851E+08  33.629704 -51.862383
 2014-Sep-12 00:00     1.0617320899E+08  35.574288 -53.236511
 2014-Sep-13 00:00     1.0585535819E+08  37.661613 -54.584963
 2014-Sep-14 00:00     1.0555612539E+08  39.904601 -55.901487
 2014-Sep-15 00:00     1.0527592089E+08  42.315615 -57.180135
 2014-Sep-16 00:00     1.0501513435E+08  44.908357 -58.415002
 2014-Sep-17 00:00     1.0477413323E+08  47.697623 -59.599260
 2014-Sep-18 00:00     1.0455326129E+08  50.697834 -60.724942
 2014-Sep-19 00:00     1.0435283710E+08  53.921727 -61.783095
 2014-Sep-20 00:00     1.0417315267E+08  57.379051 -62.763939
 2014-Sep-21 00:00     1.0401447219E+08  61.075021 -63.657038
 2014-Sep-22 00:00     1.0387703079E+08  65.008539 -64.451537
 2014-Sep-23 00:00     1.0376103350E+08  69.170343 -65.136506
