*******************************************************************************
 2014-Oct-27 00:00     4.2172803445E+08 121.710940 -62.066857
 2014-Oct-28 00:00     4.2148404610E+08 122.106389 -62.004531
 2014-Oct-29 00:00     4.2123939061E+08 122.500663 -61.941003
 2014-Oct-30 00:00     4.2099407006E+08 122.893741 -61.876279
 2014-Oct-31 00:00     4.2074808652E+08 123.285602 -61.810360
 2014-Nov-01 00:00     4.2050144208E+08 123.676226 -61.743252
 2014-Nov-02 00:00     4.2025413885E+08 124.065592 -61.674957
 2014-Nov-03 00:00     4.2000617895E+08 124.453681 -61.605480
 2014-Nov-04 00:00     4.1975756452E+08 124.840475 -61.534824
 2014-Nov-05 00:00     4.1950829771E+08 125.225955 -61.462993
 2014-Nov-06 00:00     4.1925838067E+08 125.610103 -61.389991
 2014-Nov-07 00:00     4.1900781560E+08 125.992903 -61.315823
 2014-Nov-08 00:00     4.1875660469E+08 126.374337 -61.240493
 2014-Nov-09 00:00     4.1850475014E+08 126.754389 -61.164004
 2014-Nov-10 00:00     4.1825225418E+08 127.133045 -61.086361
 2014-Nov-11 00:00     4.1799911905E+08 127.510288 -61.007569
 2014-Nov-12 00:00     4.1774534701E+08 127.886105 -60.927631
 2014-Nov-13 00:00     4.1749094033E+08 128.260481 -60.846553
 2014-Nov-14 00:00     4.1723590128E+08 128.633403 -60.764339
 2014-Nov-15 00:00     4.1698023219E+08 129.004859 -60.680993
 2014-Nov-16 00:00     4.1672393535E+08 129.374836 -60.596520
 2014-Nov-17 00:00     4.1646701311E+08 129.743322 -60.510925
 2014-Nov-18 00:00     4.1620946781E+08 130.110306 -60.424213
 2014-Nov-19 00:00     4.1595130182E+08 130.475777 -60.336388
 2014-Nov-20 00:00     4.1569251752E+08 130.839726 -60.247454
 2014-Nov-21 00:00     4.1543311730E+08 131.202141 -60.157418
 2014-Nov-22 00:00     4.1517310359E+08 131.563015 -60.066283
 2014-Nov-23 00:00     4.1491247879E+08 131.922339 -59.974054
 2014-Nov-24 00:00     4.1465124538E+08 132.280103 -59.880737
 2014-Nov-25 00:00     4.1438940579E+08 132.636301 -59.786337
 2014-Nov-26 00:00     4.1412696252E+08 132.990926 -59.690858
 2014-Nov-27 00:00     4.1386391806E+08 133.343970 -59.594305
 2014-Nov-28 00:00     4.1360027491E+08 133.695427 -59.496683
 2014-Nov-29 00:00     4.1333603562E+08 134.045291 -59.397998
 2014-Nov-30 00:00     4.1307120271E+08 134.393558 -59.298255
 2014-Dec-01 00:00     4.1280577877E+08 134.740222 -59.197457
 2014-Dec-02 00:00     4.1253976636E+08 135.085279 -59.095612
 2014-Dec-03 00:00     4.1227316808E+08 135.428724 -58.992722
 2014-Dec-04 00:00     4.1200598655E+08 135.770555 -58.888795
 2014-Dec-05 00:00     4.1173822440E+08 136.110768 -58.783834
 2014-Dec-06 00:00     4.1146988427E+08 136.449359 -58.677845
 2014-Dec-07 00:00     4.1120096884E+08 136.786328 -58.570833
 2014-Dec-08 00:00     4.1093148079E+08 137.121671 -58.462802
